,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Cansu Arat & Lucas Brum Duo,2024-12-10,2024-12-10,19:30, ,Wilhelmsburger Inselpark (Wasserwerk),Hamburg Wilhelmsburg,https://www.biunsinnorden.de/veranstaltungen/hamburg-cansu-arat-und-lucas-brum-duo-237751,Musik,True
1,Cornelia Poletto Palazzo,2024-12-10,2024-12-10,19:30, ,Palazzo Spiegelpalast Hamburg,Hamburg Altona,https://www.biunsinnorden.de/veranstaltungen/hamburg-cornelia-poletto-palazzo-102319,Kulinarisch,True
2,HARLEM JUMP,2024-12-10,2024-12-10,20:30, ,Cotton-Club,Hamburg Neustadt,https://www.biunsinnorden.de/veranstaltungen/hamburg-harlem-jump-231695,Musik,True
3,Home for Christmas - Das Weihnachtskonzert,2024-12-10,2024-12-10,19:30, ,Eivind-Berggrav-Zentrum,Altenholz,https://www.biunsinnorden.de/veranstaltungen/altenholz-home-for-christmas-das-weihnachtskonzert-226267,Musik,True
4,LUCIA 2024 - Advent- und Weihnachtslieder,2024-12-10,2024-12-10,19:30, ,Hauptkirche St. Petri,Hamburg City,https://www.biunsinnorden.de/veranstaltungen/hamburg-lucia-2024-advent-und-weihnachtslieder-235154,Musik,True
5,Max Herre & Joy Denalane - Alles Liebe Tour '24,2024-12-10,2024-12-10,20:00, ,Sporthalle Hamburg,Hamburg Alsterdorf,https://www.biunsinnorden.de/veranstaltungen/hamburg-max-herre-und-joy-denalane-alles-liebe-tour-24-219074,Musik,True
6,Musik für Harfe,2024-12-10,2024-12-10,20:00, ,Musikhochschule Lübeck,Lübeck Altstadt,https://www.biunsinnorden.de/veranstaltungen/luebeck-musik-fuer-harfe-234058,Musik,True
7,Musizierstunde Klavier,2024-12-10,2024-12-10,17:00, ,Musikhochschule Lübeck,Lübeck Altstadt,https://www.biunsinnorden.de/veranstaltungen/luebeck-musizierstunde-klavier-234045,Musik,True
8,NANCY TILITZ GALERIE ALL STARS,2024-12-10,2024-12-10,20:30, ,Cotton-Club,Hamburg Neustadt,https://www.biunsinnorden.de/veranstaltungen/hamburg-nancy-tilitz-galerie-all-stars-233947,Musik,True
9,Simon Oslender | Steve Gadd | Will Lee,2024-12-10,2024-12-10,20:30, ,Nica Jazz Club,Hamburg City,https://www.biunsinnorden.de/veranstaltungen/hamburg-simon-oslender-steve-gadd-will-lee-229305,Musik,True
