,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Nik Kershaw - The 1984 Tour,2024-12-05,2024-12-05,18:30, ,Hamburg,Hamburg, https://www.eventim.de/artist/nik-kershaw/nik-kershaw-the-1984-tour-2515636/,Konzert,True
1,Kraftplatz in mirJa zum vollen Potenzial,2024-12-05,2024-12-05,19:00, ,Hamburg,Hamburg,Kannst du Ja zu dir sagen? Spüre den Kraftplatz in dir. Erlebe die Heilwirkungen von Worten und Klängen für mehr Bewusstsein und Lebensenergie. Aktiviere die Leuchtkraft der Sonne deines Herzens. https://www.eventim.de/eventseries/kraftplatz-in-mirja-zum-vollen-potenzial-3622342/,Konzert,True
2,Stahlmann,2024-12-05,2024-12-05,19:00, ,Lübeck,Lübeck,STAHLMANN startet mit neuem Album ins 15-jährige Bühnenjubiläum! https://www.eventim.de/artist/stahlmann/stahlmann-3530790/,Konzert,True
3,$OHO BANI - GOTT SEGNE $OHO BANI TOUR,2024-12-05,2024-12-05,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/soho-bani/,Konzert,True
4,Jean-Philippe Kindler - Klassentreffen,2024-12-05,2024-12-05,20:00, ,Kiel,Kiel,"Das neue Soloprogramm des deutschen Kabarettpreisträgers entspringt dem Bühnengenre der hemmungslosen Pöbelei: Es wird laut, es wird derb, es wird unversöhnlich. https://www.eventim.de/artist/jean-philippe-kindler/jean-philippe-kindler-klassentreffen-3068920/",Konzert,True
5,Bishop - Thank You George - After Fiasco,2024-12-05,2024-12-05,20:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/bishop-thank-you-george-after-fiasco-3681975/,Konzert,True
6,Bilderbuch - Softpower Tour,2024-12-05,2024-12-05,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/bilderbuch/bilderbuch-softpower-tour-3255002/,Konzert,True
7,Stepfather Fred,2024-12-05,2024-12-05,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/stepfather-fred/,Konzert,True
8,MonoNeon,2024-12-05,2024-12-05,21:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/mononeon/,Konzert,True
9,DJ Ötzi präsentiert MOUNTAIN MANIA - Après-Ski wie nie!,2024-12-06,2024-12-06,19:00, ,Hamburg,Hamburg,"Die Mountain Mania ist die größte Après-Ski-Party seit Erfindung des Winters und ein absoluter Pflichttermin für alle, die so richtig feiern und was erleben wollen! https://www.eventim.de/artist/dj-oetzi/dj-oetzi-praesentiert-mountain-mania-apres-ski-wie-nie-2283727/",Konzert,True
10,Anchors & Hearts - Deathlist Tour 2024,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/anchors-and-hearts/anchors-hearts-deathlist-tour-2024-3497338/,Konzert,True
11,Christmas Jazz Cruise feat. Sophia Oster Quartet,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/christmas-jazz-cruise-feat-sophia-oster-quartet-3687795/,Konzert,True
12,XAVER - XP Tour 2024,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg,"Xaver geht 2024 auf ""XP""-Tour! https://www.eventim.de/artist/xaver/",Konzert,True
13,SELIG - 30 Jahre und endlich unendlich - Teil 2,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg,Die Jubiläumstour geht weiter! https://www.eventim.de/artist/selig/selig-30-jahre-und-endlich-unendlich-teil-2-3368570/,Konzert,True
14,BILBAO - LIVE 2024,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/bilbao/,Konzert,True
15,Marsimoto - Die Letzte Tour,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/marsimoto/,Konzert,True
16,KARAT, , , , ,Musik- und Kongresshalle,Musik- und Kongresshalle, https://www.eventim.de/artist/karat/karat-2370917/,Konzert,True
17,The Luka State - Going The Distance UK/EU Tour,2024-12-06,2024-12-06,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/the-luka-state/,Konzert,True
18,Kalte Liebe - Träume ohne Wert Tour 2024,2024-12-06,2024-12-06,20:15, ,Hamburg,Hamburg, https://www.eventim.de/artist/kalte-liebe/,Konzert,True
19,Erik Cohen - Zurück aus der Zukunft Tour 2024,2024-12-06,2024-12-06,20:30, ,Hamburg,Hamburg, https://www.eventim.de/artist/erik-cohen/erik-cohen-zurueck-aus-der-zukunft-tour-2024-3533068/,Konzert,True
20,"Apnoe, Hungrig & Der Luger",2024-12-06,2024-12-06,20:30, ,Hamburg,Hamburg,3 Hamburger Indie Bands laden zum Livekonzert! https://www.eventim.de/eventseries/apnoe-hungrig-der-luger-3716401/,Konzert,True
21,Godewind - Weihnachtstournee 2024, , , , ,TriBühne Norderstedt,TriBühne Norderstedt, https://www.eventim.de/artist/godewind/,Konzert,True
22,Hell Boulevard - A Decade in Hell – 10 Years Anniversary Shows,2024-12-07,2024-12-07,17:30, ,Hamburg,Hamburg, https://www.eventim.de/artist/hell-boulevard/hell-boulevard-a-decade-in-hell-10-years-anniversary-shows-3664295/,Konzert,True
23,ÖXL in St. Georgen - WisMArGISCH 5.0,2024-12-07,2024-12-07,18:00, ,Wismar,Wismar,"Ein emotionales Jubiläumskonzert, das die Magie der Heimatstadt einfängt. https://www.eventim.de/eventseries/oexl-in-st-georgen-wismargisch-5-0-3551729/",Konzert,True
24,Help! - DeutschesSchauSpielHausHamburg,2024-12-07,2024-12-07,18:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/deutschesschauspielhaushamburg/help-deutschesschauspielhaushamburg-3317184/,Konzert,True
25,D-A-D,2024-12-07,2024-12-07,19:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/d-a-d/,Konzert,True
26,Domiziana - Club Inferno,2024-12-07,2024-12-07,19:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/domiziana/,Konzert,True
27,Home for Christmas - Das Weihnachtskonzert - 10 Jahre Jubiläums Tour 2024, , , , ,Erlöser-Kirche,Erlöser-Kirche,"Das Weihnachtskonzert mit MayaMo (Voc.), Georg Schroeter (Piano/Voc.), Markus Schröder (Keyboards) und Marc Breitfelder (Mundharmonika). https://www.eventim.de/eventseries/home-for-christmas-das-weihnachtskonzert-10-jahre-jubilaeums-tour-2024-3697490/",Konzert,True
28,Urbannino,2024-12-07,2024-12-07,19:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/urbannino/,Konzert,True
29,League Of Distortion - Galvanize Tour 2024,2024-12-07,2024-12-07,19:30, ,Hamburg,Hamburg,Die Modern-Metal SensationLeague Of Distortion kündigt ihre mit Spannung erwartete erste Headliner-Tour an! https://www.eventim.de/artist/league-of-distortion/,Konzert,True
30,Waltons & Chevy Devils,2024-12-07,2024-12-07,20:00, ,Lübeck,Lübeck, https://www.eventim.de/artist/waltons/,Konzert,True
31,Ferris MC & DJ Stylewarz,2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg,Ferris MC feiert sein HipHop-Comeback https://www.eventim.de/artist/ferris-mc/,Konzert,True
32,Shacke One,2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/shacke-one/,Konzert,True
33,Max And Friends are coming to Town,2024-12-07,2024-12-07,20:00, ,Lübeck,Lübeck, https://www.eventim.de/artist/max-and-friends-are-coming-to-town/,Konzert,True
34,Anatolien Jazz - Hamburg,2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/anatolien-jazz-hamburg-3742457/,Konzert,True
35,Moses Pelham - Letzte Worte,2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/moses-pelham/,Konzert,True
36,"Lara Hulo - ""Miete in bar"" Tour 2024",2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/lara-hulo/,Konzert,True
37,Kontrollverlust - Wir drehen auf Tour,2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/kontrollverlust/,Konzert,True
38,Cat Ballou - Jubiläumstour 2024,2024-12-07,2024-12-07,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/cat-ballou/cat-ballou-jubilaeumstour-2024-3522615/,Konzert,True
39,Marios Westernhagen Tribute,2024-12-07,2024-12-07,21:00, ,Hamburg,Hamburg,"Marios Westernhagen Tribute gelingt es mühelos, die Grenzen zwischen Original und Tribute verschwinden zu lassen. https://www.eventim.de/artist/marios-westernhagen-tribute/",Konzert,True
40,Ballbreakers - AC/DC Tribute Show,2024-12-07,2024-12-07,21:30, ,Flensburg,Flensburg, https://www.eventim.de/artist/ballbreakers/ballbreakers-acdc-tribute-show-3099300/,Konzert,True
41,Weihnachten auf See mit dem Shanty-Chor Cuxhaven,2024-12-08,2024-12-08,15:00, ,Cuxhaven,Cuxhaven, https://www.eventim.de/artist/shanty-chor-cuxhaven/,Konzert,True
42,The Golden Voices of Gospel,2024-12-08,2024-12-08,18:00, ,Brunsbüttel,Brunsbüttel, https://www.eventim.de/artist/the-golden-voices-of-gospel/the-golden-voices-of-gospel-2504960/,Konzert,True
43,Carolin Fortenbacher - ABBA macht glücklich - Live 2024/2025,2024-12-08,2024-12-08,18:00, ,Husum,Husum,"Carolin Fortenbacher, die ""deutsche Donna"", widmet sich der schwedischen Supergruppe auf ihre ganz eigene Art und Weise. https://www.eventim.de/artist/carolin-fortenbacher/",Konzert,True
44,Marlo Grosshardt,2024-12-08,2024-12-08,19:00, ,Kiel,Kiel, https://www.eventim.de/artist/marlo-grosshardt/,Konzert,True
45,Stoppok - Solo,2024-12-08,2024-12-08,19:00, ,Hamburg,Hamburg,Er verzichtet auf Fast-Food-Musik und folgt seit je her seinem eigenen Stil : Stoppok! https://www.eventim.de/artist/stoppok/stoppok-solo-395587/,Konzert,True
46,Pe Werner,2024-12-08,2024-12-08,19:30, ,Norderstedt,Norderstedt,Pe Werner mit Ihrem neuen Programm Vitamin Pe - Das Plauschkonzert https://www.eventim.de/artist/pe-werner/,Konzert,True
47,Andreas Kümmert,2024-12-08,2024-12-08,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/andreas-kuemmert/andreas-kuemmert-2973001/,Konzert,True
48,Justin Nozuka,2024-12-08,2024-12-08,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/justin-nozuka/,Konzert,True
