,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Fisch sucht Fahrrad Hamburg | Das Adventsspecial | 30.11.24 anzeigen,30.11.,30.11.,21:00,N/A,KENT Club,"Hamburg, HH",https://www.eventbrite.de/e/fisch-sucht-fahrrad-hamburg-das-adventsspecial-301124-tickets-850820004537?aff=ebdssbdestsearch,music,music
1,Northern Lights & NCOTB anzeigen,30.11.,30.11.,18:00,N/A,Kulturhof Dulsberg,"Hamburg, HH",https://www.eventbrite.de/e/northern-lights-ncotb-tickets-1020609148437?aff=ebdssbdestsearch,music,music
2,Joe Astray + Anna Wydra | Living Room Sessions anzeigen,29.11.,29.11.,19:00,N/A,Elbdeich Studio,"Hamburg, HH",https://www.eventbrite.de/e/joe-astray-anna-wydra-living-room-sessions-tickets-1003057059667?aff=ebdssbdestsearch,music,music
3,Tributo Ferxxo // Feid Double Live On Stage anzeigen,30.11.,30.11.,22:00,N/A,LEGEND club,"Hamburg, HH",https://www.eventbrite.com/e/tributo-ferxxo-feid-double-live-on-stage-tickets-1041227719137?aff=ebdssbdestsearch,music,music
4,HA!Man anzeigen,29.11.,29.11.,20:00,N/A,Der Schafstall - Das Café-Restaurant im Büsenbachtal,"Handeloh, NDS",https://www.eventbrite.de/e/haman-tickets-1072887117249?aff=ebdssbdestsearch,music,music
5,Fit für den Wettbewerb anzeigen,29.11.,29.11.,19:00,N/A,Hochschule für Musik und Theater,"Hamburg, HH",https://www.eventbrite.de/e/fit-fur-den-wettbewerb-tickets-1067202905619?aff=ebdssbdestsearch,music,music
6,Schlagzeugabend anzeigen,29.11.,29.11.,18:00,N/A,Hochschule für Musik und Theater,"Hamburg, HH",https://www.eventbrite.de/e/schlagzeugabend-tickets-1061930104529?aff=ebdssbdestsearch,music,music
7,TONLABOR.TV | DJ.NIGHT.SESSIONS | #006 | 29.11.2024 |  VIP STUDIO TICKETS anzeigen,29.11.,29.11.,19:30,N/A,TONLABORATORIUM | your immersive production house,"Hamburg, HH",https://www.eventbrite.de/e/tonlabortv-djnightsessions-006-29112024-vip-studio-tickets-tickets-1051339533847?aff=ebdssbdestsearch,music,music
8,"CHATEAU DISASTER - emo (live) radio mit SHELLYCOAT - 30.11.2024, Hamburg anzeigen",30.11.,30.11.,16:00,N/A,Cruise Records,"Hamburg, HH",https://www.eventbrite.com/e/chateau-disaster-emo-live-radio-mit-shellycoat-30112024-hamburg-tickets-1083117978029?aff=ebdssbdestsearch,music,music
9,DJ Night by WERFT @INNSiDE Hamburg Hafen anzeigen,29.11.,29.11.,20:00,N/A,INNSiDE by Meliá Hamburg Hafen,"Hamburg, HH",https://www.eventbrite.de/e/dj-night-by-werft-innside-hamburg-hafen-tickets-894341829487?aff=ebdssbdestsearch,music,music
10,Gryphon entfesselt in Hamburg anzeigen,29.11.,29.11.,14:00,N/A,Auditorium GmbH,"Hamburg, HH",https://www.eventbrite.de/e/gryphon-entfesselt-in-hamburg-tickets-1054616910569?aff=ebdssbdestsearch,music,music
11,Auditorium Afterwork mit Gryphon Audio anzeigen,29.11.,29.11.,18:00,N/A,Auditorium GmbH,"Hamburg, HH",https://www.eventbrite.de/e/auditorium-afterwork-mit-gryphon-audio-tickets-1056515870409?aff=ebdssbdestsearch,music,music
12,UCAMI - INDOOR 2024 ૐ anzeigen,30.11.,30.11.,21:00,N/A,Otto-Weltzien-Straße 24,"Schwerin, MV",https://www.eventbrite.de/e/ucami-indoor-2024-tickets-1026902341547?aff=ebdssbdestsearch,music,music
13,IN MY BED | RnB Classics Tunes anzeigen,30.11.,30.11.,22:00,N/A,studio,"Bremen, HB",https://www.eventbrite.de/e/in-my-bed-rnb-classics-tunes-tickets-1089999771659?aff=ebdssbdestsearch,music,music
14,"Lady Ticket 2 für 1 Preis ""In My Bed"" anzeigen",30.11.,30.11.,22:00,N/A,Studio,"Bremen, HB",https://www.eventbrite.de/e/lady-ticket-2-fur-1-preis-in-my-bed-tickets-1090011195829?aff=ebdssbdestsearch,music,music
15,69 MINUTEN PARTY - Bremen anzeigen,30.11.,30.11.,20:30,N/A,Groove Club Bremen,"Bremen, HB",https://www.eventbrite.de/e/69-minuten-party-bremen-tickets-1071441623739?aff=ebdssbdestsearch,music,music
16,Soulguards anzeigen,29.11.,29.11.,20:00,N/A,Celler Rockmusik-Initiative e.V.,"Celle, NDS",https://www.eventbrite.com/e/soulguards-tickets-851519436557?aff=ebdssbdestsearch,music,music
17,Syker Disco-Schlager Party anzeigen,30.11.,30.11.,20:00,N/A,ADTV Tanzschule Sonja Augustin,"Syke, NDS",https://www.eventbrite.de/e/syker-disco-schlager-party-tickets-992568096897?aff=ebdssbdestsearch,music,music
18,NATE LUMINA X NOEL  | NATE Hannover | 29.11.2024 anzeigen,29.11.,29.11.,21:00,N/A,NATE Hannover,"Hannover, NDS",https://www.eventbrite.de/e/nate-lumina-x-noel-nate-hannover-29112024-tickets-1071504401509?aff=ebdssbdestsearch,music,music
19,DITA E FLAMURIT anzeigen,30.11.,30.11.,23:00,N/A,Rp5 Stage,"Hannover, NDS",https://www.eventbrite.com/e/dita-e-flamurit-tickets-1082450060269?aff=ebdssbdestsearch,music,music
20,Kleine Hörprobe - NAD Masters M33 anzeigen,29.11.,29.11.,18:30,N/A,media@home ferner hören & sehen,"Braunschweig, NDS",https://www.eventbrite.de/e/kleine-horprobe-nad-masters-m33-tickets-1026309187407?aff=ebdssbdestsearch,music,music
21,Großer Pflanzenverkauf - Bremen anzeigen,28.11.,28.11.,10:00,N/A,Popup Loft Bremen,"Bremen, HB",https://www.eventbrite.de/e/groer-pflanzenverkauf-bremen-tickets-1079320459549?aff=ebdssbdestsearch,community,no music
22,Megamarsch 50/12 Ostsee 2025 - Schleswig-Holstein - Grömitz nach Scharbeutz anzeigen,26.04.,26.04.,07:30,N/A,Wiese an der Promenade,"Grömitz, SN",https://www.eventbrite.com/e/megamarsch-5012-ostsee-2025-schleswig-holstein-gromitz-nach-scharbeutz-tickets-887484619387?aff=ebdssbdestsearch,sports-and-fitness,no music
23,Megamarsch Hamburg 2025 anzeigen,5.04.,5.04.,12:00,N/A,Parkplatz des ZAL Zentrum für Angewandte Luftfahrtforschung GmbH,"Hamburg, SN",https://www.eventbrite.com/e/megamarsch-hamburg-2025-tickets-880087725077?aff=ebdssbdestsearch,sports-and-fitness,no music
24,Megamarsch 50/12 Ostsee 2025 - Schleswig-Holstein - Scharbeutz nach Grömitz anzeigen,26.04.,26.04.,07:30,N/A,Kurpark,"Scharbeutz, SN",https://www.eventbrite.com/e/megamarsch-5012-ostsee-2025-schleswig-holstein-scharbeutz-nach-gromitz-tickets-887714426747?aff=ebdssbdestsearch,sports-and-fitness,no music
25,FANTASM * * * * * THIS IS TECHNO anzeigen,26.12.,26.12.,23:00,N/A,Docks,"Hamburg, HH",https://www.eventbrite.de/e/fantasm-this-is-techno-tickets-1080531090579?aff=ebdssbdestsearch,music,music
26,"SingAlong Hamburg (Weihnachtslieder), 11.12.2024 anzeigen",11.12.,11.12.,20:00,N/A,Ferdinandstraße 12,"Hamburg, HH",https://www.eventbrite.de/e/singalong-hamburg-weihnachtslieder-11122024-tickets-927813433957?aff=ebdssbdestsearch,music,music
27,A.N.I. * * * * * 360º  TECHNO RAVE anzeigen,7.12.,7.12.,23:59,N/A,Docks,"Hamburg, HH",https://www.eventbrite.de/e/ani-360o-techno-rave-tickets-1088982990439?aff=ebdssbdestsearch,music,music
28,Bill Stewart Trio anzeigen,7.12.,7.12.,19:30,N/A,JazzHall (an der HfMT),"Hamburg, HH",https://www.eventbrite.de/e/bill-stewart-trio-tickets-1007635574127?aff=ebdssbdestsearch,music,music
29,ZWIDEJA Vol.3 anzeigen,28.12.,28.12.,22:00,N/A,Prinzenbar,"Hamburg, HH",https://www.eventbrite.de/e/zwideja-vol3-tickets-1083093544949?aff=ebdssbdestsearch,music,music
30,Alexander von Schlippenbach Trio anzeigen,5.12.,5.12.,19:30,N/A,JazzHall (an der HfMT),"Hamburg, HH",https://www.eventbrite.de/e/alexander-von-schlippenbach-trio-tickets-1012979969357?aff=ebdssbdestsearch,music,music
31,Old School Vibes x Moondoo HAMBURG #10 anzeigen,13.12.,13.12.,23:00,N/A,Moondoo,"Hamburg, HH",https://www.eventbrite.de/e/old-school-vibes-x-moondoo-hamburg-10-tickets-1012788005187?aff=ebdssbdestsearch,music,music
32,CHERRY MOON X LEOS CAFE anzeigen,7.12.,7.12.,19:00,N/A,Colonnaden 9,"Hamburg, HH",https://www.eventbrite.com/e/cherry-moon-x-leos-cafe-tickets-1063850388149?aff=ebdssbdestsearch,music,music
33,Shut Up and Dance anzeigen,7.12.,7.12.,22:00,N/A,Spielbank Hamburg - Casino Esplanade,"Hamburg, HH",https://www.eventbrite.de/e/shut-up-and-dance-tickets-1050463674127?aff=ebdssbdestsearch,music,music
34,Resonance Rave anzeigen,21.12.,21.12.,22:00,N/A,Am Kulturwerk,"Norderstedt, SH",https://www.eventbrite.de/e/resonance-rave-tickets-1047995702357?aff=ebdssbdestsearch,music,music
