,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,"""KLIMA DER ZUKUNFT"" – KLARE KANTE AUS KULTUR, WISSENSCHAFT UND WIRTSCHAFT",2024-12-10,2024-12-10,05:30,06:00,Schauraum der Wendland.Elbe Region,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-klima-der-zukunft-klare-kante-aus-kultur-wissenschaft-und-wirtschaft?eventDateId=25703020&widgetToken=0kPi6WAFtDs.&,Ausstellungen,False
1,DAY SPA MIT MEERBLICK,2024-12-10,2024-12-10,07:00,22:00,ATLANTIC Grand Hotel Travemünde,Travemünde,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-day-spa-mit-meerblick-4?eventDateId=25057288&widgetToken=0kPi6WAFtDs.&, ,False
2,NEUGRABENER MARKT,2024-12-10,2024-12-10,07:00,13:00,Marktplatz Neugraben,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-wochenmarkt-11?eventDateId=22346701&widgetToken=0kPi6WAFtDs.&,Wochenmärkte,False
3,WOCHENMARKT AM FINKSWEG,2024-12-10,2024-12-10,07:00,12:00,Finksweg Finkenwerder,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-wochenmarkt-am-finksweg?eventDateId=21293890&widgetToken=0kPi6WAFtDs.&,Wochenmärkte,False
4,WOCHENMARKT IN DER WEDELER LANDSTRAẞE,2024-12-10,2024-12-10,07:00,13:00,Wedeler Landstraße,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-wochenmarkt-in-der-wedeler-landstrasse?eventDateId=22863093&widgetToken=0kPi6WAFtDs.&,Wochenmärkte,False
5,30. OPEN ART: GRAD JETZT – DIE REISE ZUM KLIMA,2024-12-10,2024-12-10,08:00, ,Marktplatz Überseeboulevard,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-30-open-art-grad-jetzt-die-reise-zum-klima?eventDateId=25142372&widgetToken=0kPi6WAFtDs.&,Ausstellungen,False
6,ANKUNFT AMBIENCE,2024-12-10,2024-12-10,08:00, ,Cruise Center Altona,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-ankunft-ambience?eventDateId=25892702&widgetToken=0kPi6WAFtDs.&,Schiffsankünfte,False
7,AUSSTELLUNG: PASSAGE,2024-12-10,2024-12-10,08:00,18:30,Arbeitnehmerkammer (FORUM),Bremerhaven,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-ausstellung-passage?eventDateId=25163001&widgetToken=0kPi6WAFtDs.&,"Ausstellungen, Ausstellungen",False
8,FRüHSCHICHT - MORGENANDACHT,2024-12-10,2024-12-10,08:00, ,Heilig-Kreuz-Kirche Otterndorf,Otterndorf,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-fruehschicht-morgenandacht-4?eventDateId=25713425&widgetToken=0kPi6WAFtDs.&,Religion & Spiritualität,False
9,HARBURGER WOCHENMARKT,2024-12-10,2024-12-10,08:00,13:30,Marktplatz Harburg,Hamburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-wochenmarkt-am-schlossmuehlendamm?eventDateId=25905065&widgetToken=0kPi6WAFtDs.&,Wochenmärkte,False
10,KINDERKUNST IM RATHAUS: DIE OGS AM REESENBüTTEL PRäSENTIERT IHRE WERKE,2024-12-10,2024-12-10,08:00,12:00,Rathaus Ahrensburg (Foyer),Ahrensburg,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-kinderkunst-im-rathau-die-ogs-am-reesenbuettel-praesentiert-ihre-werke?eventDateId=25754029&widgetToken=0kPi6WAFtDs.&,Ausstellungen,False
11,KUNSTAUSSTELLUNG,2024-12-10,2024-12-10,08:00, ,Kreishaus Uelzen,Uelzen,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-kunstausstellung-6?eventDateId=25440326&widgetToken=0kPi6WAFtDs.&,Ausstellungen,False
12,WEIT MEHR ALS MEER | KUNSTWERKE AUS LEIDENSCHAFT,2024-12-10,2024-12-10,08:00,17:00,Kanzlei am Hafen,Travemünde,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-weit-mehr-als-meer-kunstwerke-aus-leidenschaft-6?eventDateId=25061740&widgetToken=0kPi6WAFtDs.&,Ausstellungen,False
13,WINDART SKULPTUREN WALK,2024-12-10,2024-12-10,08:00, ,verschiedene Spielstätten in Travemünde,Travemünde,https://hamburgwhl.infomaxnet.de/veranstaltungen/e-windart-skulpturen-walk-2?eventDateId=25895752&widgetToken=0kPi6WAFtDs.&,Ausstellungen,False
