,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,3. Kammerkonzert,2024-12-05,2024-12-05,19:30, ,Haus Eden, Lübeck,https://www.kiel-magazin.de/veranstaltungen/3-kammerkonzert-1199694,"KONZERTE, KLASSIK",True
1,Jean-Philippe Kindler - Klassentreffen,2024-12-05,2024-12-05,20:00, ,Die Pumpe, Kiel,https://www.kiel-magazin.de/veranstaltungen/jean-philippe-kindler-klassentreffen-18762866,"KONZERTE, WEITERE KONZERTE",True
2,Kammerkonzerte - Theater Lübeck,2024-12-05,2024-12-05,19:30, ,Haus Eden, Lübeck,https://www.kiel-magazin.de/veranstaltungen/kammerkonzerte-theater-l%C3%BCbeck-19315183,"KONZERTE, KLASSIK",True
3,So Soon,2024-12-05,2024-12-05,19:00, ,hansa48, Kiel,https://www.kiel-magazin.de/veranstaltungen/so-soon-19016418,"KONZERTE, WEITERE KONZERTE",True
4,Stahlmann,2024-12-05,2024-12-05,19:00, ,Rider's Cafe, Lübeck,https://www.kiel-magazin.de/veranstaltungen/stahlmann-18782285,"KONZERTE, PUNKROCK, METAL & HARDCORE",True
5,Stahlmann - 15 Silberne Jahre,2024-12-05,2024-12-05,19:00, ,Rider's Café, Lübeck,https://www.kiel-magazin.de/veranstaltungen/stahlmann-15-silberne-jahre-1153803,"KONZERTE, PUNKROCK, METAL & HARDCORE",True
6,Der Passat Chor | Chorprobe,2024-12-05,2024-12-05,19:00, ,Stadtschule Travemünde (Aula), Travemünde,https://www.kiel-magazin.de/veranstaltungen/der-passat-chor-chorprobe-445637?id=1,"KONZERTE, GOSPEL & CHÖRE",True
7,Orgelmusik zum Weihnachtsmarkt,2024-12-05,2024-12-05,17:00, ,St.-Jakobi-Kirche zu Lübeck, Lübeck,https://www.kiel-magazin.de/veranstaltungen/orgelmusik-zum-weihnachtsmarkt-1198220?id=1,"KONZERTE, WEITERE KONZERTE",True
8,SOUNDING MUSEUM,2024-12-05,2024-12-05,16:00, ,Museum Behnhaus Drägerhaus, Lübeck,https://www.kiel-magazin.de/veranstaltungen/sounding-museum-1212616?id=1,"KONZERTE, WEITERE KONZERTE",True
9,ABSOLUTELY SWEET MARIE,2024-12-06,2024-12-06,20:15, ,CVJM Lübeck, Lübeck,https://www.kiel-magazin.de/veranstaltungen/absolutely-sweet-marie-1192176,"KONZERTE, JAZZ, BLUES, SWING & CHANSON",True
10,KARAT,2024-12-06,2024-12-06,20:00, ,Musik- und Kongresshalle Lübeck, Lübeck,https://www.kiel-magazin.de/veranstaltungen/karat-16576148,"KONZERTE, ROCK",True
11,KARAT,2024-12-06,2024-12-06,20:00, ,Musik- und Kongresshalle Lübeck, Lübeck,https://www.kiel-magazin.de/veranstaltungen/karat-953746,"KONZERTE, POP",True
12,REMISE: Die kleine Freitagskultur,2024-12-06,2024-12-06,19:30, ,KulturHaus REMISE, Bad Segeberg,https://www.kiel-magazin.de/veranstaltungen/remise-die-kleine-freitagskultur-1217757,"KONZERTE, WEITERE KONZERTE",True
13,"Releasekonzert ""Nachtbus""",2024-12-06,2024-12-06,19:00, ,Festsaal - Haus Eden, Lübeck,https://www.kiel-magazin.de/veranstaltungen/releasekonzert-nachtbus-1209131,"KONZERTE, WELTMUSIK",True
14,Sinfoniekonzerte - Schleswig-Holsteinische Landestheater und Sinfonieorchester,2024-12-06,2024-12-06,19:30, ,Stadttheater Rendsburg, Rendsburg,https://www.kiel-magazin.de/veranstaltungen/sinfoniekonzerte-schleswig-holsteinische-landestheater-und-sinfonieorchester-18737969,"KONZERTE, KLASSIK",True
15,SOUNDING MUSEUM,2024-12-06,2024-12-06,16:00, ,Museum Behnhaus Drägerhaus, Lübeck,https://www.kiel-magazin.de/veranstaltungen/sounding-museum-1212616?id=2,"KONZERTE, WEITERE KONZERTE",True
