,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Der Mensch dahinter,28.11.2024,28.11.2024,08:00,18:00,Rathaus Kiel,Kiel,https://kiel-sailing-city.de/e/der-mensch-dahinter/o-a0c3024b-43fe-42bf-8c0f-9cbf190fc973,"['Ausstellung', 'Kultur']",no music
1,Weihnachtsmarkt im CITTI-Park,28.11.2024,28.11.2024,09:00,20:00,CITTI-PARK,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-im-citti-park/o-1ebb738c-0a8f-49e5-9ef4-cf5a646fa373,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",music
2,Mit Herodot auf Reisen,28.11.2024,28.11.2024,09:00,22:00,Universitätsbibliothek Kiel,Kiel,https://serviceaward-kiel.de/mit-herodot-auf-reisen/o-7626e500-7feb-4bdf-bf47-f9ad75053058,"['Ausstellung', 'Kultur', 'Wissenschaft']",no music
3,Kiel festhalten. Stadtansichten von Gretel Riemann,28.11.2024,28.11.2024,10:00,18:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kiel-festhalten-stadtansichten-von-gretel-riemann/o-85254721-f692-4928-867f-8bc305dece8b,"['Ausstellung', 'Kultur']",no music
4,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,28.11.2024,28.11.2024,10:00,18:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kaufrausch-konsum-und-warenwelten-der-1980er-jahre/o-bbc0b7c0-b374-4500-aa1f-0de35c59e643,"['Ausstellung', 'Kultur', 'Kultursommer']",no music
5,Weihnachten im Sophienhof,28.11.2024,28.11.2024,10:00,20:00,Sophienhof,Kiel,https://kiel-sailing-city.de/e/weihnachten-im-sophienhof/o-c27649e9-c552-4f31-80ce-a762ab7ca89c,"['Kinderprogramm', 'Shopping', 'Kultur', 'Märkte']",no music
6,Wohltemperiert. Für klimagerechte Architektur!,28.11.2024,28.11.2024,10:00,16:00,Freilichtmuseum Molfsee,Kiel,https://serviceaward-kiel.de/wohltemperiert-fuer-klimagerechte-architektur/o-e6afda78-853c-45d7-b8a0-2ea1a729edf1,"['Ausstellung', 'Kultur']",no music
7,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,28.11.2024,28.11.2024,10:00,18:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/der-gewoelbekeller-kostbarkeiten-aus-dem-alten-kiel-1/o-ef66d681-d9d7-4f80-91de-023166911a67,"['Ausstellung', 'Kultur', 'Kultursommer']",no music
8,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,28.11.2024,28.11.2024,11:00,18:00,Kunstraum Sconeberg,Kiel,https://kiel-sailing-city.de/e/kunstraum-sconeberg-mit-ganzjaehrigem-ausstellungsangebot/o-40bea100-9738-471c-ab52-d7f8c4ada114,"['Ausstellung', 'Kultur']",no music
9,Weihnachtsmarkt - Holstenplatz,28.11.2024,28.11.2024,11:00,21:00,Holstenplatz,Kiel,https://kiel-sailing-city.de/e/kieler-weihnachtsmaerkte-holstenplatz/o-8caf6ce4-2735-435f-ae81-65e052737755,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",no music
10,Collage – Zwischen Traum und Wirklichkeit,28.11.2024,28.11.2024,11:00,18:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/collage-zwischen-traum-und-wirklichkeit/o-c24491af-fd82-4010-8a98-cf02b47836c4,"['Ausstellung', 'Kultur']",no music
11,"Riesenrad am Bahnhof ""La Noria""",28.11.2024,28.11.2024,11:00,21:00,Kiel Hauptbahnhof,Kiel,https://kiel-sailing-city.de/e/riesenrad-am-bahnhof-la-noria/o-c62f48a4-524b-46c9-a1cd-c1bbc97ecbe5,"['Kultur', 'Sport/Freizeit']",no music
