,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,fluppe,2024-12-05,2024-12-05,, ,"Hamburg, Hafenklang",Hamburg,https://www.livegigs.de/konzert/fluppe/hamburg-hafenklang/2024-12-05,Konzert - Indie/Alternative,True
1,"Warm Exit, Glaza",2024-12-05,2024-12-05,19:30, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/warm-exit-glaza/hamburg-ms-stubnitz/2024-12-05,Konzert - Post-Punk,True
2,Wladimir Kaminer,2024-12-05,2024-12-05,20:00, ,"Hamburg, Fabrik",Hamburg,https://www.livegigs.de/kunst-theater/wladimir-kaminer/hamburg-fabrik/2024-12-05,Kunst / Theater,True
3,Anchors & Hearts,2024-12-06,2024-12-06,20:00, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/anchors-und-hearts/hamburg-logo/2024-12-06,Konzert - Punkrock/Hardcore,True
4,Erik Cohen,2024-12-06,2024-12-06,20:30, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/erik-cohen/hamburg-knust/2024-12-06,Konzert - Rock,True
5,Molly Punch + Flaws + Telesatan + Vorsicht Kinder,2024-12-06,2024-12-06,20:00, ,"Hamburg, Südpol",Hamburg,https://www.livegigs.de/konzert/molly-punch-flaws-telesatan-vorsicht-kinder-punk-am-pol/hamburg-suedpol/2024-12-06,Konzert - Punkrock/Hardcore,True
6,Selig,2024-12-06,2024-12-06,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/selig/hamburg-markthalle/2024-12-06,Konzert - Rock,True
7,Wladimir Kaminer,2024-12-06,2024-12-06,19:00, ,"Lübeck, Kolosseum",Lübeck,https://www.livegigs.de/kunst-theater/wladimir-kaminer/luebeck-kolosseum/2024-12-06,Kunst / Theater,True
8,Drei Meter Feldweg,2024-12-07,2024-12-07,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/drei-meter-feldweg/hamburg-markthalle/2024-12-07,Konzert - Punkrock/Hardcore,True
9,Heinz Strunk,2024-12-07,2024-12-07,20:00, ,"Kiel, Schauspielhaus",Kiel,https://www.livegigs.de/lesung/heinz-strunk/kiel-schauspielhaus/2024-12-07,Lesung,True
10,Maggers United,2024-12-07,2024-12-07,20:00, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/maggers-united/hamburg-logo/2024-12-07,Konzert,True
11,The Nø vs. No Life Lost!,2024-12-07,2024-12-07,, ,"Hamburg, Adolf Jäger Kampfbahn",Hamburg,https://www.livegigs.de/konzert/n-vs-no-life-lost/hamburg-adolf-jaeger-kampfbahn/2024-12-07,Konzert - Punkrock/Hardcore,True
12,Pommespanzer,2024-12-07,2024-12-07,, ,"Hamburg, Adolf Jäger Kampfbahn",Hamburg,https://www.livegigs.de/konzert/pommespanzer/hamburg-adolf-jaeger-kampfbahn/2024-12-07,Konzert - Punkrock/Hardcore,True
13,Justin Nozuka,2024-12-08,2024-12-08,20:00, ,"Hamburg, Bahnhof Pauli",Hamburg,https://www.livegigs.de/konzert/justin-nozuka/hamburg-bahnhof-pauli/2024-12-08,Konzert,True
14,King Howl,2024-12-08,2024-12-08,19:00, ,"Hamburg, Bar 227",Hamburg Sternschanze,https://www.livegigs.de/konzert/king-howl/hamburg-bar-227/2024-12-08,Konzert - Rock,True
15,Selig,2024-12-08,2024-12-08,20:00, ,"Hamburg, Gruenspan",Hamburg,https://www.livegigs.de/konzert/selig/hamburg-gruenspan/2024-12-08,Konzert - Rock,True
16,Zaz,2024-12-09,2024-12-09,20:00, ,"Hamburg, Christianskirche Ottensen",Hamburg,https://www.livegigs.de/konzert/zaz/hamburg-christianskirche-ottensen/2024-12-09,Konzert - Singer/Songwriter,True
17,Max Herre,2024-12-10,2024-12-10,20:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/max-herre/hamburg-sporthalle-hamburg/2024-12-10,Konzert,True
18,Sprints,2024-12-10,2024-12-10,21:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/sprints/hamburg-knust/2024-12-10,Konzert - Indie/Alternative,True
19,Die Fantastischen Vier,2024-12-11,2024-12-11,20:00, ,"Hamburg, Barclays Arena",Hamburg,https://www.livegigs.de/konzert/die-fantastischen-vier/hamburg-barclaycard-arena/2024-12-11,Konzert - HipHop/Rap,True
20,MT Fog,2024-12-11,2024-12-11,19:30, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/mt-fog/hamburg-ms-stubnitz/2024-12-11,Konzert,True
21,Teho Teardo & Blixa Bargeld,2024-12-11,2024-12-11,20:00, ,"Hamburg, Mojo Club",Hamburg,https://www.livegigs.de/konzert/teho-teardo-und-blixa-bargeld/hamburg-mojo-club/2024-12-11,Konzert,True
22,Fil,2024-12-12,2024-12-12,20:00, ,"Hamburg, Centralkomitee",Hamburg,https://www.livegigs.de/kunst-theater/fil/hamburg-centralkomitee/2024-12-12,Kunst / Theater,True
23,Justice,2024-12-12,2024-12-12,20:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/justice/hamburg-sporthalle-hamburg/2024-12-12,Konzert - Punkrock/Hardcore,True
24,Le Fly,2024-12-12,2024-12-12,20:00, ,"Flensburg, Kühlhaus",Flensburg,https://www.livegigs.de/konzert/le-fly/flensburg-kuehlhaus/2024-12-12,Konzert - Rock,True
25,Torfrock,2024-12-12,2024-12-12,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/torfrock/kiel-die-pumpe-ev/2024-12-12,Konzert - Rock,True
26,Akne Kid Joe,2024-12-13,2024-12-13,, ,"Hamburg, Molotow",Hamburg,https://www.livegigs.de/konzert/akne-kid-joe/hamburg-molotow/2024-12-13,Konzert - Indie/Alternative,True
27,Dj Shuwana,2024-12-13,2024-12-13,21:30, ,"Hamburg, Kampnagel",Hamburg,https://www.livegigs.de/party-event/dj-shuwana/hamburg-kampnagel/2024-12-13,Party / Event - Electronic,True
28,Sofia Portanet,2024-12-13,2024-12-13,20:00, ,"Hamburg, Hebebühne",Hamburg,https://www.livegigs.de/konzert/sofia-portanet/hamburg-hebebuehne/2024-12-13,Konzert - Indie/Alternative,True
29,Ea80,2024-12-14,2024-12-14,, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/ea80/hamburg-knust/2024-12-14,Konzert - Post-Punk,True
30,Hawaiians,2024-12-14,2024-12-14,, ,"Hamburg, Monkeys Music Club",Hamburg Ottensen,https://www.livegigs.de/konzert/hawaiians/hamburg-monkeys-music-club/2024-12-14,Konzert - Punkrock/Hardcore,True
31,Kreator,2024-12-14,2024-12-14,18:30, ,"Hamburg, edel-optics.de Arena",Hamburg Wilhelmsburg,https://www.livegigs.de/konzert/kreator/hamburg-edel-opticsde-arena/2024-12-14,Konzert - Metal,True
32,Lord of the Lost,2024-12-14,2024-12-14,18:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/lord-of-the-lost/hamburg-sporthalle-hamburg/2024-12-14,Konzert - Wave/Gothic,True
33,Razzia,2024-12-14,2024-12-14,, ,"Hamburg, Monkey Music Club",Hamburg,https://www.livegigs.de/konzert/razzia/hamburg-monkey-music-club/2024-12-14,Konzert - Rock,True
34,»SOFT HARD« Sandra Kolstad,2024-12-14,2024-12-14,21:30, ,"Hamburg, Kampnagel",Hamburg,https://www.livegigs.de/konzert/soft-hard-sandra-kolstad/hamburg-kampnagel/2024-12-14,Konzert - Pop,True
35,Cro,2024-12-15,2024-12-15,19:30, ,"Kiel, Wunderino Arena",Kiel,https://www.livegigs.de/konzert/cro/kiel-wunderino-arena/2024-12-15,Konzert - HipHop/Rap,True
36,Erdmöbel,2024-12-15,2024-12-15,20:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/erdmoebel/hamburg-knust/2024-12-15,Konzert - Pop,True
37,Zebrahead,2024-12-15,2024-12-15,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/zebrahead/hamburg-markthalle/2024-12-15,Konzert - Pop,True
38,Deichkind,2024-12-17,2024-12-17,19:30, ,"Kiel, Wunderino Arena",Kiel,https://www.livegigs.de/konzert/deichkind/kiel-wunderino-arena/2024-12-17,Konzert - HipHop/Rap,True
39,LA TECA in concert,2024-12-18,2024-12-18,20:00, ,"Lübeck, Funambules",Lübeck,https://www.livegigs.de/konzert/la-teca-in-concert/luebeck-funambules/2024-12-18,Konzert - Jazz,True
40,Torfrock,2024-12-18,2024-12-18,20:00, ,"Lübeck, Musik und Kongresshalle",Lübeck,https://www.livegigs.de/konzert/torfrock/luebeck-musik-und-kongresshalle-1/2024-12-18,Konzert - Rock,True
41,Goldenen Zitronen,2024-12-19,2024-12-19,20:00, ,"Hamburg, Kampnagel (K 6)",Hamburg,https://www.livegigs.de/konzert/goldenen-zitronen/hamburg-kampnagel-k-6/2024-12-19,Konzert - Punkrock/Hardcore,True
42,Miss May I,2024-12-19,2024-12-19,19:30, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/miss-may-i/hamburg-logo/2024-12-19,Konzert - Punkrock/Hardcore,True
43,Peter And The Test Tube Babies,2024-12-19,2024-12-19,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/peter-and-the-test-tube-babies/hamburg-markthalle/2024-12-19,Konzert - Punkrock/Hardcore,True
44,Abi Wallenstein,2024-12-20,2024-12-20,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/abi-wallenstein/kiel-die-pumpe-ev/2024-12-20,Konzert - Country/Blues,True
