,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Max Herre & Joy Denalane - Alles Liebe Tour '24,2024-12-10,2024-12-10,20:00, ,Sporthalle Hamburg,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36739166/119951095,konzerte,True
1,Lizzard,2024-12-10,2024-12-10,20:00, ,HEADCRASH,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36795226/120048275,konzerte,True
2,MORLOCKKO PLUS presents SAMSEMILIA aka Samy Deluxe feat. SONNYJIM,2024-12-10,2024-12-10,20:00, ,Mojo Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40087605/150229527,konzerte,True
3,"Karol Mossakowski, Orgel",2024-12-10,2024-12-10,20:00, ,Elbphilharmonie (Großer Saal),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40349445/150899088,konzerte,True
4,Hörprobe,2024-12-10,2024-12-10,20:00, ,Treffpunkt: Hochschule für Musik und Theater,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40383274/151004493,konzerte,True
5,MORLOCKKO PLUS presents SAMSEMILIA aka Samy Deluxe feat. SONNYJIM,2024-12-10,2024-12-10,20:00, ,Mojo Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40346236/150884596,konzerte,True
6,Simon Oslender | Steve Gadd | Will Lee | Bruno Müller - European Tour 2024,2024-12-10,2024-12-10,20:30, ,Nica Jazz Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36633262/150398157,konzerte,True
7,HARLEM JUMP,2024-12-10,2024-12-10,20:30, ,Cotton Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40383668/151006212,konzerte,True
8,NANCY TILITZ GALERIE ALL STARS,2024-12-10,2024-12-10,20:30, ,Cotton Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40347069/150888085,konzerte,True
9,Simon Oslender | Steve Gadd | Will Lee | Bruno Müller - European Tour 2024,2024-12-10,2024-12-10,20:30, ,Nica Jazz Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351839/150909311,konzerte,True
10,SPRINTS,2024-12-10,2024-12-10,21:00, ,Knust,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40353062/150914538,konzerte,True
11,SPRINTS,2024-12-10,2024-12-10,21:00, ,KNUST,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40155534/150378041,konzerte,True
12,Orgelmusik zur Mittagszeit,2024-12-11,2024-12-11,12:30, ,Hauptkirche St. Katharinen,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40440077/151165537,konzerte,True
13,"Hartmut Großmann, Wiehnachten steiht vör de Döör",2024-12-11,2024-12-11,16:00, ,Café Book,Jesteburg,https://veranstaltungen.meinestadt.de/jesteburg/event-detail/40348768/150895710,konzerte,True
14,Stunde der Kirchenmusik,2024-12-11,2024-12-11,17:15, ,Hauptkirche St. Petri,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40439900/151163791,konzerte,True
15,„Alle Jahre wieder“ - Himmlische Harfenklänge zur Weihnachtszeit,2024-12-11,2024-12-11,19:00, ,Burg Henneberg,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40396552/151041912,konzerte,True
16,Adventsmusik - Gymnasium im Eilbektal,2024-12-11,2024-12-11,19:00, ,Versöhnungskirche,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40342895/150874982,konzerte,True
17,Giovani talenti nel mondo: Duo Claude,2024-12-11,2024-12-11,19:00, ,Istituto Italiano di Cultura,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40349845/150900877,konzerte,True
18,AMIR P. & CULLIONAR,2024-12-11,2024-12-11,19:30, ,Grüner Jäger,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40349267/150897778,konzerte,True
19,MT Fog,2024-12-11,2024-12-11,19:30, ,MS Stubnitz,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40352535/150912401,konzerte,True
20,MT Fog,2024-12-11,2024-12-11,19:30, ,MS Stubnitz,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40259088/150628767,konzerte,True
21,SingAlong - Das große Mitsing-Event | Weihnachtslieder,2024-12-11,2024-12-11,20:00, ,Cascadas,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40155629/150378206,konzerte,True
22,Giant Crow + Silverships,2024-12-11,2024-12-11,20:00, ,Markthalle Hamburg,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40174966/150422002,konzerte,True
23,Die Fantastischen Vier | Logen-Seat in der Ticketmaster Suite,2024-12-11,2024-12-11,20:00, ,Barclays Arena,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40204776/150485681,konzerte,True
24,Jazeek 2002 Tour,2024-12-11,2024-12-11,20:00, ,Edel-optics.de-Arena,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36766779/119991872,konzerte,True
25,Augustin Hadelich / Mozarteumorchester Salzburg / Andrew Manze,2024-12-11,2024-12-11,20:00, ,Elbphilharmonie (Großer Saal),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40349302/150898025,konzerte,True
26,Teho Teardo & Blixa Bargeld,2024-12-11,2024-12-11,20:00, ,Mojo Club,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40352781/150913198,konzerte,True
27,Giant Crow + Silverships,2024-12-11,2024-12-11,20:00, ,Markthalle,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351587/150908597,konzerte,True
28,FatJazz präsentiert: DIE ENTTÄUSCHUNG,2024-12-11,2024-12-11,20:00, ,Restaurant Brückenstern,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40349761/150900496,konzerte,True
29,Bidla Buh,2024-12-11,2024-12-11,20:00, ,Empore,Buchholz/Nordheide,https://veranstaltungen.meinestadt.de/buchholz-nordheide/event-detail/40440154/151165771,konzerte,True
30,Berq - Live 2024,2024-12-11,2024-12-11,20:00, ,Docks,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40015257/150096488,konzerte,True
