,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Christian Löffler - Hamburg Docks,29.11.,29.11.,19:00,N/A,Docks,Hamburg,"https://rausgegangen.de/events/christian-loffler-hamburg-docks-0/ , Preis: 41,25 €",Konzerte & Musik,music
1,Christian Löffler - präsentiert von Rausgegangen,29.11.,29.11.,19:00,N/A,Docks,Hamburg,"https://rausgegangen.de/events/christian-loffler-8/ , Preis: 41,25 €",Konzerte & Musik,music
2,Joe Astray + Anna Wydra | Living Room Sessions,29.11.,29.11.,19:00,N/A,Elbdeich Studio,Hamburg,"https://rausgegangen.de/events/joe-astray-living-room-sessions-0/ , Preis: 13,65 €",Konzerte & Musik,music
3,WELCOME TO SENTIMENT VALLEY Tour | Hamburg,29.11.,29.11.,19:00,N/A,Indra Musikclub,Hamburg,"https://rausgegangen.de/events/welcome-to-sentiment-valley-tour-hamburg-0/ , Preis: 17,03 €",Konzerte & Musik,music
4,Fabian Müller | ProArte Hamburg,29.11.,29.11.,19:30,N/A,Laeiszhalle Hamburg,Hamburg,"https://rausgegangen.de/events/fabian-muller-proarte-hamburg-0/ , Preis: 17,00 bis 50,00 €",Konzerte & Musik,music
5,Whitey en vogue - präsentiert von Rausgegangen,29.11.,29.11.,19:30,N/A,Goldener Salon,Hamburg,"https://rausgegangen.de/events/whitey-en-vogue-was-ist-nur-aus-rap-geworden-1/ , Preis: 29,45 €",Konzerte & Musik,music
6,QUEEN MAY ROCK,29.11.,29.11.,20:00,N/A,Logo Hamburg,Hamburg,"https://rausgegangen.de/events/queen-may-rock-0/ , Preis: 21,00 €",Konzerte & Musik,music
7,Space is the Place #5 - VIBRAVOID + THE SUN OR THE MOON,29.11.,29.11.,20:00,N/A,Stellwerk,Hamburg,"https://rausgegangen.de/events/space-is-the-place-vibravoid-the-sun-or-the-moon-0/ , Preis: 18,00 €",Konzerte & Musik,music
8,The Howl & The Hum,29.11.,29.11.,20:00,N/A,Molotow,Hamburg,"https://rausgegangen.de/events/the-howl-the-hum-4/ , Preis: 26,00 €",Konzerte & Musik,music
9,Turbolent + Krepp,29.11.,29.11.,20:00,N/A,Bar 227,Hamburg,"https://rausgegangen.de/events/turbolent-krepp-0/ , Preis: 10,00 €",Konzerte & Musik,music
