,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,DAY SPA MIT MEERBLICK,2024-12-05,2024-12-05,07:00,22:00,ATLANTIC Grand Hotel Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-day-spa-mit-meerblick-2?eventDateId=1980939&widgetToken=zOpiJSoCowQ.&,Sonstiges,False
1,WOCHENMARKT MALZMüLLERWIESEN,2024-12-05,2024-12-05,07:00,12:00,Malzmüllerwiesen Itzehoe,Itzehoe,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-malzmuellerwiesen?eventDateId=1879608&widgetToken=zOpiJSoCowQ.&,Wochenmärkte,False
2,WOCHENMARKT TRAVEMüNDE,2024-12-05,2024-12-05,07:30,13:00,Wochenmarkt Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-travemuende-2?eventDateId=1978507&widgetToken=zOpiJSoCowQ.&,sonstige Feste & Märkte,False
3,TIERISCH NORDISCH,2024-12-05,2024-12-05,08:00,18:00,Galerie Premium Mobile Kuntz,Gettorf,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-tierisch-nordisch?eventDateId=2108068&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
4,WEIT MEHR ALS MEER | KUNSTWERKE AUS LEIDENSCHAFT,2024-12-05,2024-12-05,08:00,17:00,Kanzlei am Hafen,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-weit-mehr-als-meer-kunstwerke-aus-leidenschaft-3?eventDateId=1979978&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
5,WINDART SKULPTUREN WALK,2024-12-05,2024-12-05,08:00, ,verschiedene Spielstätten in Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-windart-skulpturen-walk-2?eventDateId=1841465&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
6,WINDART SKULPTUREN WALK,2024-12-05,2024-12-05,08:00,23:00,verschiedene Orte in Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-windart-skulpturen-walk-3?eventDateId=1981040&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
7,WOCHENMARKT,2024-12-05,2024-12-05,08:00,12:00,Marktplatz St. Michaelisdonn,Sankt Michaelisdonn,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-3?eventDateId=1915683&widgetToken=zOpiJSoCowQ.&,Wochenmärkte,False
8,WOCHENMARKT IN SCHöNBERG,2024-12-05,2024-12-05,08:00,13:00,Fußgängerzone Schönberg,Schönberg,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-in-schoenberg?eventDateId=2108129&widgetToken=zOpiJSoCowQ.&,sonstige Feste & Märkte,False
9,WOCHENMARKT IN WAHLSTEDT,2024-12-05,2024-12-05,08:00,13:00,Marktplatz Wahlstedt,Wahlstedt,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-in-wahlstedt-1?eventDateId=1544142&widgetToken=zOpiJSoCowQ.&,Wochenmärkte,False
10, , , , , , , ,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-in-wahlstedt-1?eventDateId=1544142&widgetToken=zOpiJSoCowQ.&, ,False
11,YOGA-KURSE | KURSE NACH KURSPLAN,2024-12-05,2024-12-05,08:30,19:45,Yogazentrum Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-yoga-kurse-kurse-nach-kursplan-1?eventDateId=2012011&widgetToken=zOpiJSoCowQ.&, ,False
12,KLEINE WATTWANDERUNG AUF FöHR,2024-12-05,2024-12-05,08:45, ,"Ende Strandstraße, beim öffentlichen Toilettenhaus",Wyk,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kleine-wattwanderung-auf-foehr-1?eventDateId=2005668&widgetToken=zOpiJSoCowQ.&,"FÖHRgreen Erlebnis, Natur, Wattwanderung",False
13,"AUSSTELLUNG ""BEGEGNUNG"" DER KüNSTLERINNEN MEGI BALZER UND ULRIKE DILLIG",2024-12-05,2024-12-05,09:00,12:00,Rathaus,Heiligenhafen,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-ausstellung-begegnung-der-kuenstlerinnen-megi-balzer-und-ulrike-dillig?eventDateId=2108179&widgetToken=zOpiJSoCowQ.&,sonstige Kunst & Kultur,False
14,GäRTNERN IN DER STADT,2024-12-05,2024-12-05,09:00,17:00,Museum für Natur und Umwelt,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-gaertnern-in-der-stadt-1?eventDateId=1833445&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
15,KUNSTAUSSTELUNG ZUM ADVENT,2024-12-05,2024-12-05,09:00,13:00,Gold- und Silberschmiede „Seemannsgold“,Glückstadt,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kunstausstelung-zum-advent?eventDateId=2000559&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
16,NIEDEREGGER WEIHNACHTSBASAR,2024-12-05,2024-12-05,09:00,19:00,Café Niederegger,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-niederegger-weihnachtsbasar-1?eventDateId=2024849&widgetToken=zOpiJSoCowQ.&,Weihnachtsmärkte,False
17,NIEDEREGGER WEIHNACHTSBASAR,2024-12-05,2024-12-05,09:00,19:00,Café Niederegger,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-niederegger-weihnachtsbasar?eventDateId=2024890&widgetToken=zOpiJSoCowQ.&,Weihnachtsmärkte,False
18,UNSERE WAKENITZ,2024-12-05,2024-12-05,09:00,17:00,Museum für Natur und Umwelt,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-unsere-wakenitz-1?eventDateId=1828841&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
19,"YOGA, TANZ, FUNCTIONAL TRAINING | KURSE NACH KURSPLAN",2024-12-05,2024-12-05,09:00,21:00,"Studio Esther Kemp | Yoga, Functional Training & Tanz",Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-yoga-tanz-functional-training-kurse-nach-kursplan-1?eventDateId=1979257&widgetToken=zOpiJSoCowQ.&, ,False
20,KUNSTAUSSTELLUNG MICHAEL WEIGEL,2024-12-05,2024-12-05,09:30,18:30,Galerie im Maritim,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kunstausstellung-michael-weigel-2?eventDateId=2077638&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
21, , , , , , , ,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kunstausstellung-michael-weigel-2?eventDateId=2077638&widgetToken=zOpiJSoCowQ.&, ,False
22,AQUAFIT,2024-12-05,2024-12-05,10:00,10:45,Seiteneingang FehMare,Fehmarn,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-aquafit?eventDateId=2075404&widgetToken=zOpiJSoCowQ.&,Schwimmsport,False
23,AUGMENTED REALITY-TOUR »TATORT GERRESHEIM«,2024-12-05,2024-12-05,10:00,17:00,Günter Grass-Haus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-augmented-reality-tour-tatort-gerresheim?eventDateId=1831326&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
24,AUSSTELLUNG TREPPENGALERIE STADTBüCHEREI,2024-12-05,2024-12-05,10:00,19:00,Stadtbücherei Ahrensburg,Ahrensburg,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-ausstellung-treppengalerie-stadtbuecherei?eventDateId=2000378&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
25,BESICHTIGUNG DER OSTSEESTATION TRAVEMüNDE,2024-12-05,2024-12-05,10:00,17:00,Ostseestation Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-besichtigung-der-ostseestation-travemuende-1?eventDateId=1978948&widgetToken=zOpiJSoCowQ.&, ,False
26,DER DANZIGER TEXTILSCHATZ IM ZEICHEN EUROPäISCHER FREUNDSCHAFT,2024-12-05,2024-12-05,10:00,17:00,St. Annen-Museum,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-der-danziger-textilschatz-im-zeichen-europaeischer-freundschaft-1?eventDateId=1832140&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
27,EXTRA TIME,2024-12-05,2024-12-05,10:00,17:00,Kunsthalle St. Annen,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-extra-time-1?eventDateId=1831432&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
28,"HALLIG NORDEROOG, INSEL DER SEESCHWALBEN - FOTOGRAFISCHE EINBLICKE ALS VOGELWART:IN",2024-12-05,2024-12-05,10:00,17:00,Haus der Natur Ahrensburg,Ahrensburg,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-hallig-norderoog-insel-der-seeschwalben-fotografische-einblicke-als-vogelwartin?eventDateId=2000477&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
29,HUNDEFOTOGRAFIE AM STRAND,2024-12-05,2024-12-05,10:00, ,Hundestrand,Eckernförde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-hundefotografie-am-strand-1?eventDateId=2108542&widgetToken=zOpiJSoCowQ.&,"Spielen, Quizzen & Gaming",False
30,HUSUMER WEIHNACHTSMARKT,2024-12-05,2024-12-05,10:00,22:00,Husum,Husum,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-husumer-weihnachtsmarkt-in-husum?eventDateId=2027915&widgetToken=zOpiJSoCowQ.&,"Best-Of, Feste, Highlights, Kulinarisch, Stadtfeste & Märkte, Weihnachtsmärkte, Winter",False
31,IM DICKICHT DER STäDTE - FARBHOLZSCHNITTE U.A. VON MARTIN GIETZ,2024-12-05,2024-12-05,10:00,17:00,Schloss Reinbek,Reinbek,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-im-dickicht-der-staedte-farbholzschnitte-ua-von-martin-gietz?eventDateId=1994197&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
32, , , , , , , ,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-im-dickicht-der-staedte-farbholzschnitte-ua-von-martin-gietz?eventDateId=1994197&widgetToken=zOpiJSoCowQ.&, ,False
33,"KUNSTAUSSTELLUNG ""KONTRASTE!""",2024-12-05,2024-12-05,10:00,12:00,Kulturhaus Alte Apotheke,Schönberg,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kunstausstellung-kontraste?eventDateId=2108243&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
34,MAL- UND SPIELZEIT FüR KINDER,2024-12-05,2024-12-05,10:00,13:00,Strandhaus,Grömitz,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-mal-und-spielzeit-fuer-kinder?eventDateId=2108246&widgetToken=zOpiJSoCowQ.&,Familie & Kinder,False
35,MIT DER NORDERFäHRE ZUM PRIWALL,2024-12-05,2024-12-05,10:00, ,Treffpunkt: Fährplatz Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-mit-der-norderfaehre-zum-priwall-2?eventDateId=1907492&widgetToken=zOpiJSoCowQ.&,sonstige Ausflüge & Führungen,False
36,MIT DER NORDERFäHRE ZUM PRIWALL,2024-12-05,2024-12-05,10:00,20:00,Personenfähre Nordermole,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-mit-der-norderfaehre-zum-priwall-3?eventDateId=1980893&widgetToken=zOpiJSoCowQ.&, ,False
37,NIEDEREGGER WEIHNACHTSBASAR,2024-12-05,2024-12-05,10:00,18:00,Café Niederegger,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-niederegger-weihnachtsbasar?eventDateId=2027812&widgetToken=zOpiJSoCowQ.&,Weihnachtsmärkte,False
38,STRANDHAUS GEöFFNET,2024-12-05,2024-12-05,10:00,15:00,Strandhaus,Grömitz,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-strandhaus-geoeffnet-1-1?eventDateId=2108280&widgetToken=zOpiJSoCowQ.&,sonstige Ausflüge & Führungen,False
39,TOUR DE GRASS,2024-12-05,2024-12-05,10:00,17:00,Günter Grass-Haus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-tour-de-grass?eventDateId=1829645&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
40,VON CASPAR DAVID FRIEDRICH BIS EDVARD MUNCH. DIE HIGHLIGHTS DER SAMMLUNG IM DRäGERHAUS,2024-12-05,2024-12-05,10:00,17:00,Museum Behnhaus Drägerhaus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-von-caspar-david-friedrich-bis-edvard-munch-die-highlights-der-sammlung-im-draegerhaus-1?eventDateId=1831910&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
41,VON CASPAR DAVID FRIEDRICH BIS EDVARD MUNCH. DIE HIGHLIGHTS DER SAMMLUNG IM DRäGERHAUS,2024-12-05,2024-12-05,10:00, ,Museum Behnhaus Drägerhaus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-von-caspar-david-friedrich-bis-edvard-munch-die-highlights-der-sammlung-im-draegerhaus?eventDateId=2049741&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
42,VON DER NATUR INSPIRIERT,2024-12-05,2024-12-05,10:00,03:00,Museum Tuch + Technik,Neumünster,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-von-der-natur-inspiriert?eventDateId=2035253&widgetToken=zOpiJSoCowQ.&,sonstige Kunst & Kultur,False
43, , , , , , , ,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-von-der-natur-inspiriert?eventDateId=2035253&widgetToken=zOpiJSoCowQ.&, ,False
44,WATT FüR EINSTEIGER: KURZE WATTWANDERUNG IN BüSUM,2024-12-05,2024-12-05,10:00,11:00,"Deich vor dem Büsumer Leuchtturm, 25761 Büsum",Büsum,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-watt-fuer-einsteiger-kurze-wattwanderung-in-buesum?eventDateId=2095194&widgetToken=zOpiJSoCowQ.&,"Familie & Kinder, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Outdoor, Wattwanderung, Wattwanderungen",False
45,WATTWANDERUNG IN BüSUM: WELTNATURERBE WATTENMEER,2024-12-05,2024-12-05,10:00, ,Treffpunkt: Leuchtturm Büsum,Büsum,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wattwanderung-in-buesum-weltnaturerbe-wattenmeer?eventDateId=1810931&widgetToken=zOpiJSoCowQ.&,sonstige Ausflüge & Führungen,False
46,WUNSCHBAUM LABOE,2024-12-05,2024-12-05,10:00,12:00,Stöberstube / Rathaus,Laboe,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wunschbaum-laboe-1?eventDateId=2108224&widgetToken=zOpiJSoCowQ.&,Sonstiges,False
47,»DIE BLECHTROMMEL«,2024-12-05,2024-12-05,10:00,17:00,Günter Grass-Haus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-die-blechtrommel-2?eventDateId=1829764&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
48,»GRASS TANZBAR«,2024-12-05,2024-12-05,10:00,17:00,Günter Grass-Haus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-grass-tanzbar?eventDateId=1830083&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
