,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Die Kitzelspinne - Figurentheater KOLK 17,28.11.2024,28.11.2024,16:00,N/A,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Theater,no music
1,Orgelmusik zum Advent,28.11.2024,28.11.2024,17:00,N/A,St. Jakobi,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Musik,music
2,Remter-Konzert,28.11.2024,28.11.2024,18:00,N/A,Museumsquartier St. Annen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Musik,music
3,Musik Violine,28.11.2024,28.11.2024,19:00,N/A,Musikhochschule – Kammermusiksaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Musik,music
4,Andreas Liebert - Mondlandung Tour 2024,28.11.2024,28.11.2024,20:00,N/A,MuK - kleiner Saal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Musik,music
5,Martin liest den Koran,28.11.2024,28.11.2024,20:30,N/A,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Film,no music
6,Shambhala (OmU),28.11.2024,28.11.2024,17:30,N/A,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Film,no music
7,Gärtnern in der Stadt - Die grüne Vielfalt Lübecks,28.11.2024,28.11.2024,09:00,N/A,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
8,Unsere Wakenitz,28.11.2024,28.11.2024,09:00,N/A,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
9,Buddenbrooks im Behnhaus,28.11.2024,28.11.2024,10:00,N/A,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
10,"Eugenia Zhdanova ""Bewahre Licht in dunkelsten Zeiten""",28.11.2024,28.11.2024,10:00,N/A,Bella Donna Haus – Bad Oldesloe,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
11,Grass TANZBAR,28.11.2024,28.11.2024,10:00,N/A,Günter Grass-Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
12,Heather Phillipson: Extra Time,28.11.2024,28.11.2024,10:00,N/A,Kunsthalle St. Annen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
13,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,28.11.2024,28.11.2024,10:00,N/A,St. Annen-Museum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
14,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,28.11.2024,28.11.2024,10:00,N/A,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
15,Caroline Kryzecki: Struggle for Pleasure,28.11.2024,28.11.2024,11:00,N/A,Overbeck-Gesellschaft,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
16,Mosaikkunst – Malerei aus Glas und Edelsteinen von Sabine Hamann,28.11.2024,28.11.2024,14:00,N/A,temporary showroom,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Ausstellungen,no music
17,Kunsthandwerkermarkt St. Petri,28.11.2024,28.11.2024,11:00,N/A,St. Petri Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
18,Lübecker Weihnachtsmarkt am Rathaus,28.11.2024,28.11.2024,11:00,N/A,Markt Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
19,Lübsche Wiehnacht - Kunsthandwerkermarkt,28.11.2024,28.11.2024,11:00,N/A,Schuppen 6,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
20,Maritimer Weihnachtsmarkt am Koberg,28.11.2024,28.11.2024,11:00,N/A,Koberg,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
21,Mittelalterlicher Weihnachtsmarkt,28.11.2024,28.11.2024,11:00,N/A,Kirchhof St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
22,Märchenwald an der Marienkirche,28.11.2024,28.11.2024,11:00,N/A,Kirchplatz St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
23,Sternenwald,28.11.2024,28.11.2024,11:00,N/A,Schrangen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
24,HAFENGLÜHEN - Weihnachtsmarkt am Drehbrückenplatz,28.11.2024,28.11.2024,15:00,N/A,Drehbrückenplatz,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
25,Wortfontänen & Trara - Die Lübecker Lesebühne mit den Top Slam Poetry Poet:innen des Nordens und Musik,28.11.2024,28.11.2024,19:30,N/A,Stadtbibliothek Scharbausaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
26,Michael Mittermeier - Flashback,28.11.2024,28.11.2024,20:00,N/A,Kolosseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/28,Sonstiges,no music
0,Der Schimmelreiter - Figurentheater KOLK 17,29.11.2024,29.11.2024,19:30,N/A,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Theater,no music
1,Die Regiments­tochter,29.11.2024,29.11.2024,19:30,N/A,Theater Lübeck – Großes Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Theater,no music
2,Himmlische Zeiten,29.11.2024,29.11.2024,19:30,N/A,Theaterschiff,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Theater,no music
3,Die Verwand­lung,29.11.2024,29.11.2024,20:00,N/A,Theater Lübeck – Studio,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Theater,no music
4,Nie wieder einsam - Premiere,29.11.2024,29.11.2024,20:00,N/A,Theater Combinale,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Theater,no music
5,Orgelmusik zum Advent,29.11.2024,29.11.2024,17:00,N/A,St. Jakobi,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Musik,music
6,Einer flog über das Kuckucksnest (OmU),29.11.2024,29.11.2024,20:00,N/A,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Film,no music
7,Shambhala (OmU),29.11.2024,29.11.2024,17:00,N/A,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Film,no music
8,Gärtnern in der Stadt - Die grüne Vielfalt Lübecks,29.11.2024,29.11.2024,09:00,N/A,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
9,Unsere Wakenitz,29.11.2024,29.11.2024,09:00,N/A,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
10,Buddenbrooks im Behnhaus,29.11.2024,29.11.2024,10:00,N/A,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
11,"Eugenia Zhdanova ""Bewahre Licht in dunkelsten Zeiten""",29.11.2024,29.11.2024,10:00,N/A,Bella Donna Haus – Bad Oldesloe,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
12,Grass TANZBAR,29.11.2024,29.11.2024,10:00,N/A,Günter Grass-Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
13,Heather Phillipson: Extra Time,29.11.2024,29.11.2024,10:00,N/A,Kunsthalle St. Annen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
14,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,29.11.2024,29.11.2024,10:00,N/A,St. Annen-Museum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
15,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,29.11.2024,29.11.2024,10:00,N/A,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
16,"„Igeltreppe, Krötenautobahn & Hummeltankstelle … Stadtplanung aus Tierperspektive“",29.11.2024,29.11.2024,10:00,N/A,Kulturfunke Quartier,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
17,Caroline Kryzecki: Struggle for Pleasure,29.11.2024,29.11.2024,11:00,N/A,Overbeck-Gesellschaft,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
18,Bestattungskulturen in Lübeck und der Welt. Vom Ruheort zum Coffin Dance,29.11.2024,29.11.2024,14:00,N/A,Geschichtswerkstatt Herrenwyk,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
19,Mosaikkunst – Malerei aus Glas und Edelsteinen von Sabine Hamann,29.11.2024,29.11.2024,14:00,N/A,temporary showroom,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
20,"aufgenommen!2024: Sonja Koczula, Kirsten Piper und Johanna Sayk",29.11.2024,29.11.2024,17:00,N/A,GEDOK Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Ausstellungen,no music
21,Kunsthandwerkermarkt St. Petri,29.11.2024,29.11.2024,11:00,N/A,St. Petri Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
22,Lübecker Weihnachtsmarkt am Rathaus,29.11.2024,29.11.2024,11:00,N/A,Markt Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
23,Lübsche Wiehnacht - Kunsthandwerkermarkt,29.11.2024,29.11.2024,11:00,N/A,Schuppen 6,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
24,Maritimer Weihnachtsmarkt am Koberg,29.11.2024,29.11.2024,11:00,N/A,Koberg,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
25,Mittelalterlicher Weihnachtsmarkt,29.11.2024,29.11.2024,11:00,N/A,Kirchhof St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
26,Märchenwald an der Marienkirche,29.11.2024,29.11.2024,11:00,N/A,Kirchplatz St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
27,Sternenwald,29.11.2024,29.11.2024,11:00,N/A,Schrangen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
28,Buchvorstellung: Die Siegel der Klöster in Schleswig-Holstein und Hamburg,29.11.2024,29.11.2024,19:00,N/A,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
29,Die Anderen - Ein Widmung an die Vergänglichkeit - Tanztheater - Live am Teich INDOOR,29.11.2024,29.11.2024,19:30,N/A,Altstadtbad Krähenteich,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
30,Christian Ehring - Stand jetzt,29.11.2024,29.11.2024,20:00,N/A,Kolosseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
31,"Mary Roos & Wolfgang Trepper: Mehr Nutten, mehr Koks - scheiss auf die Erdbeeren!",29.11.2024,29.11.2024,20:00,N/A,Musik- und Kongresshalle – MuK,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/29,Sonstiges,no music
0,Weihnachten beim großen Bo - Figurentheater KOLK 17,30.11.2024,30.11.2024,15:00,N/A,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Theater,no music
1,Himmlische Zeiten,30.11.2024,30.11.2024,16:00,N/A,Theaterschiff,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Theater,no music
2,Der Schimmelreiter - Figurentheater KOLK 17,30.11.2024,30.11.2024,19:30,N/A,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Theater,no music
3,La Bohème,30.11.2024,30.11.2024,19:30,N/A,Theater Lübeck – Großes Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Theater,no music
4,Das 80er Musical - Supermarktladies,30.11.2024,30.11.2024,20:00,N/A,Hoftheater Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Theater,no music
5,Medea. Stimmen - Premiere,30.11.2024,30.11.2024,20:00,N/A,Theater Lübeck – Kammerspiele,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/11/30,Theater,no music
