Subject,Start_date,Start_time,End_time,Location,Description
brunch & brew,2024-11-23,15:00,,"COBL, Kiel","konzert
8€
Location Link: http://www.cobl.opencampus.sh/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38314777&date=2024-11-23"
Oud Konzert mit Nedal Aldaiekh,2024-11-23,18:00,,"Café Jupiter, Kiel","konzert
Location Link: https://www.instagram.com/cafe.jupiter.ju?igsh=MXJ3Z2dxeWNhNmVnOA==
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38226493&date=2024-11-23"
JAM SESSION am Samstag - Genresessions,2024-11-23,18:00,,"Siebeneck & Triangel, Kiel","konzert
tags pop, stoner, psychedelic, rock, folk
Location Link: https://www.siebeneck-triangel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38225105&date=2024-11-23"
LIVE! - BIG DADDY WILSON & THE GOOSEBUMPS BROS.,2024-11-23,19:00,,"Räucherei, Kiel","konzert
tags folk, soul
Location Link: https://www.raeucherei.org/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=34781505&date=2024-11-23"
"Rampampam, Oistress, Herr Fugbaum",2024-11-23,19:00,,"Alte Meierei, Kiel","konzert
tags punk
Location Link: https://www.altemeierei.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38034558&date=2024-11-23"
"Johann Sebastian Bach : Kantate Nr. 140 ""Wachet auf, ruft uns die Stimme""",2024-11-23,19:00,,"St. Nikolai-Kirche, Kiel","konzert
Sankt Nikolai Chor Kiel, 15,00 €, ermäßigt 9 €
Location Link: http://www.st-nikolai-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38237014&date=2024-11-23"
Reiner Bublitz Live,2024-11-23,19:00,,"Sportheim, Langwedel, Kiel","konzert
Reiner Bublitz - Live in Concert
Location Link: http://sportheim-langwedel.jimdosite.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38122979&date=2024-11-23"
HerbstZEIT o24 > Los Flamenquitos mit ‚Nuevo-Flamenco‘,2024-11-23,19:30,,"Alte Meierei am See, Postfeld, Kiel","konzert
tags gitarre
Location Link: https://www.alte-meierei-am-see.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502565&date=2024-11-23"
DARTAGNAN,2024-11-23,20:00,,"Pumpe (Saal), Kiel","konzert
Konzert
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36977392&date=2024-11-23"
speak to me – A Tribute to Pink Floyd,2024-11-23,20:00,,"Petruskirche, Kiel","konzert
Location Link: http://www.akg-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37153809&date=2024-11-23"
Konzert „DUX“,2024-11-23,20:00,,"Hof Akkerboom, Kiel","konzert
tags folk
Location Link: http://www.hof-akkerboom.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37330156&date=2024-11-23"
Ton Steine Scherben,2024-11-23,20:00,,"Bethlehem Kirche, Kiel","konzert
Kai und Flunky von Ton, Steine
Location Link: https://www.bethlehem-kirche.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37139430&date=2024-11-23"
Irgendwas mit Glitzer präsentiert: Wasabi Riot & Herculines,2024-11-23,20:00,,"Alte Mu (Fahrradkinokombinat), Kiel","konzert
Location Link: http://www.altemu.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37865482&date=2024-11-23"
"""2 Glad"" ( Folk-Songs and more )",2024-11-23,20:00,,"Restaurant Alte Schwimmhalle, Plön, Kiel","konzert
Location Link: http://www.restaurantalteschwimmhalle.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37767650&date=2024-11-23"
Tanzfabrik,2024-11-23,19:00,,"Traum GmbH, Kiel","disco
Diesmal: Rumba
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38046201&date=2024-11-23"
15 Jahre Hot Rock - Die Party,2024-11-23,20:00,,"Hot Rock, Kiel","disco
tags rock
Location Link: http://www.hot-rock-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38325973&date=2024-11-23"
Tanz bei GOSCH in Kiel - an der Hörn,2024-11-23,21:30,,"Gosch an der Hörn, Kiel","disco
tags (teilw.) eintritt frei
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38150563&date=2024-11-23"
Ü30 Ambiente & Ü30 Rock,2024-11-23,22:00,,"Traum GmbH (Halle 1), Kiel","disco
mit Ausweiskontrolle!
Location Link: https://traumgmbh.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37774146&date=2024-11-23"
1€ Ladies night,2024-11-23,22:00,,"Atrium, Schwentinental, Kiel","disco
tags (teilw.) eintritt frei
Location Link: https://atrium-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38234985&date=2024-11-23"
LOLLIPOP SUPER DANCE,2024-11-23,23:00,,"Pumpe (roter Salon), Kiel","disco
Trance Event
Location Link: https://www.diepumpe.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38325972&date=2024-11-23"
Tucholsky,2024-11-23,23:00,,"Tucholsky, Kiel","disco
8 €
Location Link: http://www.tucholskykiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=237&date=2024-11-23"
MAX MANIA,2024-11-23,23:00,,"Max Nachttheater, Kiel","disco
tags (teilw.) eintritt frei, house, charts
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37957804&date=2024-11-23"
GEN Z – The age of Internet: 2010,2024-11-23,23:00,,"Ben Briggs, Kiel","disco
tags black
Location Link: http://benbriggs.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38149279&date=2024-11-23"
OEL • D.N.A.'S BDAY BASH w/ MASTER NIGGEL *live on Stage sets by KONO x D.N.A. X COACH,2024-11-23,23:59,,"Luna Club, Kiel","disco
Rap, Trap, Live
Location Link: https://lunaclub.com/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=38048642&date=2024-11-23"
HOLIDAY ON ICE,2024-11-23,15:00,,"Wunderino Arena, Kiel","literatur
NEW SHOW
Location Link: https://www.wunderino-arena.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=33896884&date=2024-11-23"
HOLIDAY ON ICE,2024-11-23,19:00,,"Wunderino Arena, Kiel","literatur
NEW SHOW
Location Link: https://www.wunderino-arena.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=33896885&date=2024-11-23"
1. Premiere: Hansen oder die Sache mit dem Pinguin,2024-11-23,11:00,,"Niederdeutsche Bühne, Kiel","theater
Location Link: https://www.niederdeutschebuehne-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36623855&date=2024-11-23"
Weihnachtsmärchen 2024 – „Rumpelstilzchen“,2024-11-23,15:00,,"Friedrich Ebert Halle, Preetz, Kiel","theater
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37502684&date=2024-11-23"
TIERE IM HOTEL,2024-11-23,16:00,,"Theater im Werftpark, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416799&date=2024-11-23"
Weiber 3 - Der Berg ruft,2024-11-23,16:00,,"Lore & Lay Theaterfrachter Kiel, Kiel","theater
ab 31,00 €
Location Link: https://loreundlay-theater-schiff.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36705990&date=2024-11-23"
(Ausverkauft!) Drei Herren – Drei Gänge: Ein kriminell-kulinarischer Abend,2024-11-23,18:30,,"Alte Räucherei Ellerbek, Kiel","theater
Location Link: http://://www.alte-raeucherei.de
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36281768&date=2024-11-23"
JOHN - Das VPT interpretiert John Sinclair (ZUSATZSHOW),2024-11-23,19:30,,"Max Nachttheater, Kiel","theater
Location Link: https://www.max-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=34964887&date=2024-11-23"
Weiber 3 - Der Berg ruft,2024-11-23,19:30,,"Lore & Lay Theaterfrachter Kiel, Kiel","theater
ab 31,00 €
Location Link: https://loreundlay-theater-schiff.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=36706002&date=2024-11-23"
Glaube Liebe Hoffnung,2024-11-23,20:00,,"Schauspielhaus, Kiel","theater
Location Link: https://www.theater-kiel.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37416952&date=2024-11-23"
Eingeschlossene Gesellschaft von Jan Weiler,2024-11-23,20:00,,"Hansa48, Kiel","theater
17€/ 12 € ermäßigt
Location Link: https://www.hansa48.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37066402&date=2024-11-23"
"""Anne-Marie die Schönheit"" von Yasmina Reza -",2024-11-23,20:00,,"Theater Die Komödianten, Kiel","theater
ab 25,00 €
Location Link: https://die-komoedianten.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37068881&date=2024-11-23"
DeichArt: UFOS ÜBERM NORDER,2024-11-23,20:00,,"Hotel Maritim (Backbord Bar), Kiel","theater
Location Link: https://www.maritim.de/
Event Details Link: https://www.wasgehtapp.de/termin_details.php?id=37587731&date=2024-11-23"
