,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,FANTASM * * * * * THIS IS TECHNO anzeigen,2024-12-26,2024-12-26,23:00, ,Docks,"Hamburg, HH",https://www.eventbrite.de/e/fantasm-this-is-techno-tickets-1080531090579?aff=ebdssbdestsearch,music,True
1,Old School Vibes x Moondoo HAMBURG #10 anzeigen, , ,23:00, ,Moondoo,"Hamburg, HH",https://www.eventbrite.de/e/old-school-vibes-x-moondoo-hamburg-10-tickets-1012788005187?aff=ebdssbdestsearch,music,True
2,ZWIDEJA Vol.3 anzeigen,2024-12-28,2024-12-28,22:00, ,Prinzenbar,"Hamburg, HH",https://www.eventbrite.de/e/zwideja-vol3-tickets-1083093544949?aff=ebdssbdestsearch,music,True
3,"SingAlong Hamburg (Weihnachtslieder), 11.12.2024 anzeigen", , ,20:00, ,Ferdinandstraße 12,"Hamburg, HH",https://www.eventbrite.de/e/singalong-hamburg-weihnachtslieder-11122024-tickets-927813433957?aff=ebdssbdestsearch,music,True
4,Resonance Rave anzeigen,2024-12-21,2024-12-21,22:00, ,Am Kulturwerk,"Norderstedt, SH",https://www.eventbrite.de/e/resonance-rave-tickets-1047995702357?aff=ebdssbdestsearch,music,True
5,Die Sinatra Story anzeigen,2024-12-21,2024-12-21,22:00, ,Spielbank Hamburg - Casino Esplanade,"Hamburg, HH",https://www.eventbrite.de/e/die-sinatra-story-tickets-1036968840717?aff=ebdssbdestsearch,music,True
6,Heartbeat Harmony – Zum Jahresausklang anzeigen, , ,17:00, ,Yogaraum Hamburg,"Hamburg, HH",https://www.eventbrite.de/e/heartbeat-harmony-zum-jahresausklang-tickets-1075518146729?aff=ebdssbdestsearch,music,True
7,FEIERABEND - Hamburgs Afterwork - X-Mas SPECIAL anzeigen,2024-12-19,2024-12-19,18:00, ,HERITAGE Hamburg,"Hamburg, HH",https://www.eventbrite.de/e/feierabend-hamburgs-afterwork-x-mas-special-tickets-1088447468679?aff=ebdssbdestsearch,music,True
8,Kissneyland • Childhood Party • Bahnhof Pauli Hamburg anzeigen,2024-12-21,2024-12-21,22:30, ,"Bahnhof Pauli : The Underground Club Station Hamburg - Konzerte, Club, Events","Hamburg, HH",https://www.eventbrite.com/e/kissneyland-childhood-party-bahnhof-pauli-hamburg-tickets-994892729937?aff=ebdssbdestsearch,music,True
9,"Beat & Beats – Trio Catch, Ensemble Resonanz & Dell-Lillinger-Westergaard anzeigen",2024-12-14,2024-12-14,19:00, ,resonanzraum,"Hamburg, HH",https://www.eventbrite.de/e/beat-beats-trio-catch-ensemble-resonanz-dell-lillinger-westergaard-tickets-1059463677379?aff=ebdssbdestsearch,music,True
