,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Der Mensch dahinter,2024-12-10,2024-12-10,07:00,17:00,Rathaus Kiel,Kiel,https://kiel-sailing-city.de/e/der-mensch-dahinter/o-68d9de30-3415-40ce-9f74-add452b6ec10,"['Ausstellung', 'Kultur']",False
1,Mit Herodot auf Reisen,2024-12-10,2024-12-10,08:00,21:00,Universitätsbibliothek Kiel,Kiel,https://kiel-sailing-city.de/e/mit-herodot-auf-reisen/o-55a563da-3da0-429d-b7bf-43b6cb5a8c1b,"['Ausstellung', 'Kultur', 'Wissenschaft']",False
2,Weihnachtsmarkt im CITTI-Park,2024-12-10,2024-12-10,08:00,19:00,CITTI-PARK,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-im-citti-park/o-df5ccf5d-b7af-4d18-bf1b-7ae98214a05d,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",True
3,Kiel festhalten. Stadtansichten von Gretel Riemann,2024-12-10,2024-12-10,09:00,17:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kiel-festhalten-stadtansichten-von-gretel-riemann/o-0d0d607a-196f-4a07-b952-1332f2c8c884,"['Ausstellung', 'Kultur']",False
4,Prima Kunst: Schirin Rafii - Kalte Füße,2024-12-10,2024-12-10,09:00,16:00,Stadtgalerie Kiel,Kiel,https://kiel-sailing-city.de/e/prima-kunst-schirin-rafii-kalte-fuesse/o-1e175243-16d6-4578-af1b-14566eefe650,"['Ausstellung', 'Kultur']",False
5,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",2024-12-10,2024-12-10,09:00,17:00,Schifffahrtsmuseum,Kiel,https://kiel-sailing-city.de/e/marine-werften-segelsport-die-geschichte-der-hafenstadt-kiel/o-5518e543-c3f8-4ccf-8973-56037568363c,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",False
6,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,2024-12-10,2024-12-10,09:00,17:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kaufrausch-konsum-und-warenwelten-der-1980er-jahre/o-5bac13a2-c0b7-4f26-b9c7-fd670fdb61b1,"['Ausstellung', 'Kultur', 'Kultursommer']",False
7,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,2024-12-10,2024-12-10,09:00,17:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/der-gewoelbekeller-kostbarkeiten-aus-dem-alten-kiel-1/o-96b50425-7224-4043-aea5-5dd6e681e9f1,"['Ausstellung', 'Kultur', 'Kultursommer']",False
8,Wohltemperiert. Für klimagerechte Architektur!,2024-12-10,2024-12-10,09:00,15:00,Freilichtmuseum Molfsee,Kiel,https://kiel-sailing-city.de/e/wohltemperiert-fuer-klimagerechte-architektur/o-b54f00bc-0fd5-42f0-93ca-4fe8bcb25bc4,"['Ausstellung', 'Kultur']",False
9,HIER UND JETZT – gemeinsam für Demokratie,2024-12-10,2024-12-10,09:00,17:00,vhs-Kunstschule,Kiel,https://kiel-sailing-city.de/e/hier-und-jetzt-gemeinsam-fuer-demokratie-1/o-ca917d73-8c52-4547-a66c-45508716c843,"['Ausstellung', 'Kultur']",False
