,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Max Herre,2024-12-10,2024-12-10,20:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/max-herre/hamburg-sporthalle-hamburg/2024-12-10,Konzert,True
1,Sprints,2024-12-10,2024-12-10,21:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/sprints/hamburg-knust/2024-12-10,Konzert - Indie/Alternative,True
2,Die Fantastischen Vier,2024-12-11,2024-12-11,20:00, ,"Hamburg, Barclays Arena",Hamburg,https://www.livegigs.de/konzert/die-fantastischen-vier/hamburg-barclaycard-arena/2024-12-11,Konzert - HipHop/Rap,True
3,MT Fog,2024-12-11,2024-12-11,19:30, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/mt-fog/hamburg-ms-stubnitz/2024-12-11,Konzert,True
4,Teho Teardo & Blixa Bargeld,2024-12-11,2024-12-11,20:00, ,"Hamburg, Mojo Club",Hamburg,https://www.livegigs.de/konzert/teho-teardo-und-blixa-bargeld/hamburg-mojo-club/2024-12-11,Konzert,True
5,Fil,2024-12-12,2024-12-12,20:00, ,"Hamburg, Centralkomitee",Hamburg,https://www.livegigs.de/kunst-theater/fil/hamburg-centralkomitee/2024-12-12,Kunst / Theater,True
6,Justice,2024-12-12,2024-12-12,20:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/justice/hamburg-sporthalle-hamburg/2024-12-12,Konzert - Punkrock/Hardcore,True
7,Le Fly,2024-12-12,2024-12-12,20:00, ,"Flensburg, Kühlhaus",Flensburg,https://www.livegigs.de/konzert/le-fly/flensburg-kuehlhaus/2024-12-12,Konzert - Rock,True
8,Torfrock,2024-12-12,2024-12-12,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/torfrock/kiel-die-pumpe-ev/2024-12-12,Konzert - Rock,True
9,Akne Kid Joe,2024-12-13,2024-12-13,, ,"Hamburg, Molotow",Hamburg,https://www.livegigs.de/konzert/akne-kid-joe/hamburg-molotow/2024-12-13,Konzert - Indie/Alternative,True
10,Dj Shuwana,2024-12-13,2024-12-13,21:30, ,"Hamburg, Kampnagel",Hamburg,https://www.livegigs.de/party-event/dj-shuwana/hamburg-kampnagel/2024-12-13,Party / Event - Electronic,True
11,Sofia Portanet,2024-12-13,2024-12-13,20:00, ,"Hamburg, Hebebühne",Hamburg,https://www.livegigs.de/konzert/sofia-portanet/hamburg-hebebuehne/2024-12-13,Konzert - Indie/Alternative,True
12,"Diarclub #18: Boshoco, Mamdouh, DJ Bey",2024-12-14,2024-12-14,22:00, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/party-event/diarclub-18-boshoco-mamdouh-dj-bey/hamburg-ms-stubnitz/2024-12-14,Party / Event,True
13,Ea80,2024-12-14,2024-12-14,, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/ea80/hamburg-knust/2024-12-14,Konzert - Post-Punk,True
14,Hawaiians,2024-12-14,2024-12-14,, ,"Hamburg, Monkeys Music Club",Hamburg Ottensen,https://www.livegigs.de/konzert/hawaiians/hamburg-monkeys-music-club/2024-12-14,Konzert - Punkrock/Hardcore,True
15,Kreator,2024-12-14,2024-12-14,18:30, ,"Hamburg, edel-optics.de Arena",Hamburg Wilhelmsburg,https://www.livegigs.de/konzert/kreator/hamburg-edel-opticsde-arena/2024-12-14,Konzert - Metal,True
16,Lord of the Lost,2024-12-14,2024-12-14,18:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/lord-of-the-lost/hamburg-sporthalle-hamburg/2024-12-14,Konzert - Wave/Gothic,True
17,Razzia,2024-12-14,2024-12-14,, ,"Hamburg, Monkey Music Club",Hamburg,https://www.livegigs.de/konzert/razzia/hamburg-monkey-music-club/2024-12-14,Konzert - Rock,True
18,»SOFT HARD« Sandra Kolstad,2024-12-14,2024-12-14,21:30, ,"Hamburg, Kampnagel",Hamburg,https://www.livegigs.de/konzert/soft-hard-sandra-kolstad/hamburg-kampnagel/2024-12-14,Konzert - Pop,True
19,Cro,2024-12-15,2024-12-15,19:30, ,"Kiel, Wunderino Arena",Kiel,https://www.livegigs.de/konzert/cro/kiel-wunderino-arena/2024-12-15,Konzert - HipHop/Rap,True
20,Erdmöbel,2024-12-15,2024-12-15,20:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/erdmoebel/hamburg-knust/2024-12-15,Konzert - Pop,True
21,Zebrahead,2024-12-15,2024-12-15,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/zebrahead/hamburg-markthalle/2024-12-15,Konzert - Pop,True
22,Deichkind,2024-12-17,2024-12-17,19:30, ,"Kiel, Wunderino Arena",Kiel,https://www.livegigs.de/konzert/deichkind/kiel-wunderino-arena/2024-12-17,Konzert - HipHop/Rap,True
23,LA TECA in concert,2024-12-18,2024-12-18,20:00, ,"Lübeck, Funambules",Lübeck,https://www.livegigs.de/konzert/la-teca-in-concert/luebeck-funambules/2024-12-18,Konzert - Jazz,True
24,Torfrock,2024-12-18,2024-12-18,20:00, ,"Lübeck, Musik und Kongresshalle",Lübeck,https://www.livegigs.de/konzert/torfrock/luebeck-musik-und-kongresshalle-1/2024-12-18,Konzert - Rock,True
25,Goldenen Zitronen,2024-12-19,2024-12-19,20:00, ,"Hamburg, Kampnagel (K 6)",Hamburg,https://www.livegigs.de/konzert/goldenen-zitronen/hamburg-kampnagel-k-6/2024-12-19,Konzert - Punkrock/Hardcore,True
26,Miss May I,2024-12-19,2024-12-19,19:30, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/miss-may-i/hamburg-logo/2024-12-19,Konzert - Punkrock/Hardcore,True
27,Peter And The Test Tube Babies,2024-12-19,2024-12-19,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/peter-and-the-test-tube-babies/hamburg-markthalle/2024-12-19,Konzert - Punkrock/Hardcore,True
28,Abi Wallenstein,2024-12-20,2024-12-20,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/abi-wallenstein/kiel-die-pumpe-ev/2024-12-20,Konzert - Country/Blues,True
29,Bad Penny,2024-12-20,2024-12-20,20:30, ,"Hamburg, Klangbar",Hamburg Bergedorf,https://www.livegigs.de/konzert/bad-penny/hamburg-bergedorf-klangbar/2024-12-20,Konzert - Rock,True
30,Dorfpunks,2024-12-20,2024-12-20,19:30, ,"Rendsburg, Theater Rendsburg Kammerspiele",Rendsburg,https://www.livegigs.de/kunst-theater/dorfpunks/rendsburg-theater-rendsburg-kammerspiele/2024-12-20,Kunst / Theater,True
31,Montreal,2024-12-20,2024-12-20,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/montreal/hamburg-markthalle/2024-12-20,Konzert - Rock,True
32,Rockabilly Mafia,2024-12-20,2024-12-20,20:00, ,"Elmshorn, Stadttheater",Elmshorn,https://www.livegigs.de/konzert/rockabilly-mafia/elmshorn-stadttheater/2024-12-20,Konzert - Psychobilly/Rockabilly,True
33,Stockmann & Friends,2024-12-20,2024-12-20,20:00, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/stockmann-und-friends/hamburg-ms-stubnitz/2024-12-20,Konzert - Wave/Gothic,True
34,Torfrock,2024-12-20,2024-12-20,19:30, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/torfrock/hamburg-sporthalle-hamburg/2024-12-20,Konzert - Rock,True
35,Drunken Swallows,2024-12-21,2024-12-21,20:00, ,"Lübeck, Rider's Cafe",Lübeck,https://www.livegigs.de/konzert/drunken-swallows/luebeck-riders-cafe/2024-12-21,Konzert - Punkrock/Hardcore,True
36,Jack Pott,2024-12-21,2024-12-21,, ,"Lübeck, Kulturwerft Gollan",Lübeck,https://www.livegigs.de/konzert/jack-pott/luebeck-kulturwerft-gollan/2024-12-21,Konzert - Punkrock/Hardcore,True
37,Montreal,2024-12-21,2024-12-21,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/montreal/hamburg-markthalle/2024-12-21,Konzert - Rock,True
38,Revolverheld,2024-12-21,2024-12-21,20:00, ,"Hamburg, Sporthalle Hamburg",Hamburg,https://www.livegigs.de/konzert/revolverheld/hamburg-sporthalle-hamburg/2024-12-21,Konzert - Rock,True
39,St. Pauli Punk Festival #7,2024-12-21,2024-12-21,19:00, ,"Hamburg, Indra Club",Hamburg,https://www.livegigs.de/festival/st-pauli-punk-festival-7-indra-klub/hamburg-indra-club/2024-12-21,Festival - Punkrock/Hardcore,True
40,Tequila & The Sunrise Gang,2024-12-21,2024-12-21,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/tequila-und-the-sunrise-gang/kiel-die-pumpe-ev/2024-12-21,Konzert - Ska,True
41,Torfrock,2024-12-21,2024-12-21,20:00, ,"Flensburg, Roxy Concerts",Flensburg,https://www.livegigs.de/konzert/torfrock/flensburg-roxy/2024-12-21,Konzert - Rock,True
42,Mellow Mark,2024-12-22,2024-12-22,19:00, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/mellow-mark/hamburg-logo/2024-12-22,Konzert - Reggae/Dub,True
43,Tequila & The Sunrise Gang,2024-12-22,2024-12-22,20:00, ,"Kiel, Die Pumpe e.V.",Kiel,https://www.livegigs.de/konzert/tequila-und-the-sunrise-gang/kiel-die-pumpe-ev/2024-12-22,Konzert - Ska,True
44,Ohrenfeindt,2024-12-26,2024-12-26,20:00, ,"Hamburg, Gruenspan",Hamburg,https://www.livegigs.de/konzert/ohrenfeindt/hamburg-gruenspan/2024-12-26,Konzert - Rock,True
45,Mambo Kurt,2024-12-27,2024-12-27,20:00, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/mambo-kurt/hamburg-logo/2024-12-27,Konzert - Rock'n'Roll/Garage,True
46,Liga Der Gewöhnlichen Gentlemen,2024-12-28,2024-12-28,21:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/liga-der-gewoehnlichen-gentlemen/hamburg-knust/2024-12-28,Konzert - Rock'n'Roll/Garage,True
47,Bernd Begemann,2024-12-29,2024-12-29,19:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/bernd-begemann/hamburg-knust/2024-12-29,Konzert - Singer/Songwriter,True
48,Hamburger *Neon* Schulparty,2024-12-29,2024-12-29,18:30, ,"Hamburg, Hafenklang",Hamburg,https://www.livegigs.de/party-event/hamburger-neon-schulparty/hamburg-hafenklang/2024-12-29,Party / Event,True
49,New York Gospel Stars,2024-12-29,2024-12-29,17:00, ,"Lübeck, Kolosseum",Lübeck,https://www.livegigs.de/konzert/new-york-gospel-stars/luebeck-kolosseum/2024-12-29,Konzert - Folk,True
50,Die Happy,2024-12-30,2024-12-30,20:00, ,"Hamburg, Gruenspan",Hamburg,https://www.livegigs.de/konzert/die-happy/hamburg-gruenspan/2024-12-30,Konzert - Rock,True
51,Extrabreit,2024-12-30,2024-12-30,20:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/extrabreit/hamburg-markthalle/2024-12-30,Konzert - Rock,True
52,New York Gospel Stars,2024-12-30,2024-12-30,20:00, ,"Wismar, St.- Georgen-Kirche",Wismar,https://www.livegigs.de/konzert/new-york-gospel-stars/wismar-st-georgen-kirche/2024-12-30,Konzert - Folk,True
53,Ski's Country Trash,2024-12-30,2024-12-30,20:00, ,"Hamburg, LOGO",Hamburg,https://www.livegigs.de/konzert/skis-country-trash/hamburg-logo/2024-12-30,Konzert - Country/Blues,True
54,Dark Funeral,2025-01-03,2025-01-03,18:00, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/dark-funeral/hamburg-markthalle/2025-01-03,Konzert - Metal,True
55,Veranda Music,2025-01-03,2025-01-03,21:00, ,"Hamburg, Knust",Hamburg,https://www.livegigs.de/konzert/veranda-music/hamburg-knust/2025-01-03,Konzert - Indie/Alternative,True
56,The Hamburg Blues Band feat. Krissy Matthews,2025-01-09,2025-01-09,20:00, ,"Hamburg, Club am Donnerstag",Hamburg,https://www.livegigs.de/konzert/hamburg-blues-band-feat-krissy-matthews/hamburg-club-am-donnerstag/2025-01-09,Konzert - Rock,True
57,Demented Are Go,2025-01-10,2025-01-10,19:30, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/demented-are-go/hamburg-ms-stubnitz/2025-01-10,Konzert - Rock'n'Roll/Garage,True
58,Heinz Strunk,2025-01-10,2025-01-10,20:00, ,"Elmshorn, Stadttheater",Elmshorn,https://www.livegigs.de/lesung/heinz-strunk/elmshorn-stadttheater/2025-01-10,Lesung,True
59,New York Gospel Stars,2025-01-10,2025-01-10,19:30, ,"Hamburg, St. Michaelis",Hamburg,https://www.livegigs.de/konzert/new-york-gospel-stars/hamburg-st-michaelis/2025-01-10,Konzert - Folk,True
60,Busters,2025-01-11,2025-01-11,20:00, ,"Hamburg, Fabrik",Hamburg,https://www.livegigs.de/konzert/busters/hamburg-fabrik/2025-01-11,Konzert - Ska,True
61,Venues,2025-01-11,2025-01-11,20:00, ,"Hamburg, Monkeys Music Club",Hamburg Ottensen,https://www.livegigs.de/konzert/venues/hamburg-monkeys-music-club/2025-01-11,Konzert,True
62,Dorfpunks,2025-01-12,2025-01-12,18:00, ,"Schleswig, Theater Schleswig Slesvighus",Schleswig,https://www.livegigs.de/kunst-theater/dorfpunks/schleswig-theater-schleswig-slesvighus/2025-01-12,Kunst / Theater,True
63,"Spurv, 44 Inch Cake",2025-01-12,2025-01-12,18:00, ,"Hamburg, MS Stubnitz",Hamburg,https://www.livegigs.de/konzert/spurv-44-inch-cake/hamburg-ms-stubnitz/2025-01-12,Konzert,True
64,11 Freunde,2025-01-15,2025-01-15,20:00, ,"Hamburg, Fabrik",Hamburg,https://www.livegigs.de/lesung/11-freunde/hamburg-fabrik/2025-01-15,Lesung,True
65,11 Freunde,2025-01-16,2025-01-16,20:00, ,"Kiel, Studio Filmtheater",Kiel,https://www.livegigs.de/lesung/11-freunde/kiel-studio-filmtheater/2025-01-16,Lesung,True
66,Turbostaat,2025-01-16,2025-01-16,, ,"Hamburg, Markthalle",Hamburg,https://www.livegigs.de/konzert/turbostaat/hamburg-markthalle/2025-01-16,Konzert - Rock,True
