,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Schöne wilde Winternacht - Figurentheater KOLK 17,2024-12-10,2024-12-10,16:00, ,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Theater,False
1,Improtheater Instant SL,2024-12-10,2024-12-10,20:00, ,Theater Combinale,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Theater,False
2,Musizierstunde Klavier,2024-12-10,2024-12-10,17:00, ,Musikhochschule – Kammermusiksaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Musik,True
3,Orgelmusik zum Weihnachtsmarkt,2024-12-10,2024-12-10,17:00, ,St. Jakobi,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Musik,True
4,Mozart-Spezial,2024-12-10,2024-12-10,18:00, ,Atlantic Grand Hotel,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Musik,True
5,Musik für Harfe,2024-12-10,2024-12-10,20:00, ,Musikhochschule – Kammermusiksaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Musik,True
6,Three For Silver,2024-12-10,2024-12-10,20:00, ,Tonfink,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Musik,True
7,Reinas – Die Königinnen (DF),2024-12-10,2024-12-10,20:30, ,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Film,False
8,So this is Christmas,2024-12-10,2024-12-10,18:30, ,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Film,False
9,Gärtnern in der Stadt - Die grüne Vielfalt Lübecks,2024-12-10,2024-12-10,09:00, ,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
10,Unsere Wakenitz,2024-12-10,2024-12-10,09:00, ,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
11,Buddenbrooks im Behnhaus,2024-12-10,2024-12-10,10:00, ,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
12,"Eugenia Zhdanova ""Bewahre Licht in dunkelsten Zeiten""",2024-12-10,2024-12-10,10:00, ,Bella Donna Haus – Bad Oldesloe,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
13,Grass TANZBAR,2024-12-10,2024-12-10,10:00, ,Günter Grass-Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
14,Heather Phillipson: Extra Time,2024-12-10,2024-12-10,10:00, ,Kunsthalle St. Annen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
15,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,2024-12-10,2024-12-10,10:00, ,St. Annen-Museum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
16,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,2024-12-10,2024-12-10,10:00, ,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
17,"„Igeltreppe, Krötenautobahn & Hummeltankstelle … Stadtplanung aus Tierperspektive“",2024-12-10,2024-12-10,10:00, ,Kulturfunke Quartier,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
18,Caroline Kryzecki: Struggle for Pleasure,2024-12-10,2024-12-10,11:00, ,Overbeck-Gesellschaft,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
19,Wandelwald – Immersive Multimedia-Ausstellung,2024-12-10,2024-12-10,15:00, ,FUND:US,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Ausstellungen,False
20,OVER - multimediale Rauminstallation zum Ende von Karstadt,2024-12-10,2024-12-10,14:00, ,VersuchsHaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Kunst,False
21,Zwischen Gemeinwohl und Geheimpolitik Städtische Diplomatie im Ostseeraum 1470-1570,2024-12-10,2024-12-10,18:00, ,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Vorträge,False
22,"Dienstagsvortrag: 75 Jahre Grundgesetz – Garant für Demokratie und Rechtsstaat, Freiheit und Menschenwürde",2024-12-10,2024-12-10,19:30, ,Gemeinnützige,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Vorträge,False
23,Kunsthandwerkermarkt St. Petri,2024-12-10,2024-12-10,11:00, ,St. Petri Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
24,Lübecker Weihnachtsmarkt am Rathaus,2024-12-10,2024-12-10,11:00, ,Markt Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
25,Maritimer Weihnachtsmarkt am Koberg,2024-12-10,2024-12-10,11:00, ,Koberg,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
26,Mittelalterlicher Weihnachtsmarkt,2024-12-10,2024-12-10,11:00, ,Kirchhof St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
27,Märchenwald an der Marienkirche,2024-12-10,2024-12-10,11:00, ,Kirchplatz St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
28,Sternenwald,2024-12-10,2024-12-10,11:00, ,Schrangen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
29,HAFENGLÜHEN - Weihnachtsmarkt am Drehbrückenplatz,2024-12-10,2024-12-10,15:00, ,Drehbrückenplatz,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/10,Sonstiges,False
0,Die Weihnachtsgans Auguste - Figurentheater KOLK 17,2024-12-11,2024-12-11,16:00, ,Europäisches Hansemuseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Theater,False
1,Nie wieder einsam,2024-12-11,2024-12-11,20:00, ,Theater Combinale,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Theater,False
2,Schöne Beats - Sing mit uns zu Weihnachten!,2024-12-11,2024-12-11,09:30, ,Kolosseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
3,Schöne Beats - Sing mit uns zu Weihnachten!,2024-12-11,2024-12-11,11:00, ,Kolosseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
4,Orgelmusik zum Weihnachtsmarkt,2024-12-11,2024-12-11,17:00, ,St. Jakobi,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
5,Studiokonzert II,2024-12-11,2024-12-11,17:00, ,Musikhochschule – Kammermusiksaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
6,Vera Joy,2024-12-11,2024-12-11,19:30, ,sZiggy´s Bar,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
7,Candlelight Melodies,2024-12-11,2024-12-11,20:00, ,Theaterschiff,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
8,Musik für Klarinette,2024-12-11,2024-12-11,20:00, ,Musikhochschule – Kammermusiksaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
9,JazzJamSession,2024-12-11,2024-12-11,20:15, ,CVJM Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Musik,True
10,Die Passagierin (OmU),2024-12-11,2024-12-11,20:30, ,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Film,False
11,Grenzerfahrung Lübeck,2024-12-11,2024-12-11,18:00, ,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Film,False
12,Gärtnern in der Stadt - Die grüne Vielfalt Lübecks,2024-12-11,2024-12-11,09:00, ,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
13,Unsere Wakenitz,2024-12-11,2024-12-11,09:00, ,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
14,Buddenbrooks im Behnhaus,2024-12-11,2024-12-11,10:00, ,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
15,"Eugenia Zhdanova ""Bewahre Licht in dunkelsten Zeiten""",2024-12-11,2024-12-11,10:00, ,Bella Donna Haus – Bad Oldesloe,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
16,Grass TANZBAR,2024-12-11,2024-12-11,10:00, ,Günter Grass-Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
17,Heather Phillipson: Extra Time,2024-12-11,2024-12-11,10:00, ,Kunsthalle St. Annen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
18,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,2024-12-11,2024-12-11,10:00, ,St. Annen-Museum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
19,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,2024-12-11,2024-12-11,10:00, ,Museum Behnhaus Drägerhaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
20,"„Igeltreppe, Krötenautobahn & Hummeltankstelle … Stadtplanung aus Tierperspektive“",2024-12-11,2024-12-11,10:00, ,Kulturfunke Quartier,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
21,Caroline Kryzecki: Struggle for Pleasure,2024-12-11,2024-12-11,11:00, ,Overbeck-Gesellschaft,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
22,Wandelwald – Immersive Multimedia-Ausstellung,2024-12-11,2024-12-11,15:00, ,FUND:US,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Ausstellungen,False
23,OVER - multimediale Rauminstallation zum Ende von Karstadt,2024-12-11,2024-12-11,14:00, ,VersuchsHaus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Kunst,False
24,Ringvorlesung „Breitenbildung – Exzellenz“: »Wie exzellent ist unsere musikalische Breitenbildung?«,2024-12-11,2024-12-11,18:00, ,Holstentorhalle – Hörsaal,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Vorträge,False
25,Höhenluft - Thomas Mann und andere Zauberberge,2024-12-11,2024-12-11,18:30, ,VHS Falkenplatz,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Vorträge,False
26,Zu Fuß in Georgien - Vortragsabend beim Deutschen Alpenverein,2024-12-11,2024-12-11,18:30, ,Haus Eden,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Vorträge,False
27,Kunsthandwerkermarkt St. Petri,2024-12-11,2024-12-11,11:00, ,St. Petri Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
28,Lübecker Weihnachtsmarkt am Rathaus,2024-12-11,2024-12-11,11:00, ,Markt Lübeck,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
29,Maritimer Weihnachtsmarkt am Koberg,2024-12-11,2024-12-11,11:00, ,Koberg,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
30,Mittelalterlicher Weihnachtsmarkt,2024-12-11,2024-12-11,11:00, ,Kirchhof St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
31,Märchenwald an der Marienkirche,2024-12-11,2024-12-11,11:00, ,Kirchplatz St. Marien,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
32,Sternenwald,2024-12-11,2024-12-11,11:00, ,Schrangen,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
33,HAFENGLÜHEN - Weihnachtsmarkt am Drehbrückenplatz,2024-12-11,2024-12-11,15:00, ,Drehbrückenplatz,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/11,Sonstiges,False
0,Der Besuch der alten Dame,2024-12-12,2024-12-12,19:30, ,Theater Lübeck – Großes Haus,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Theater,False
1,Himmlische Zeiten,2024-12-12,2024-12-12,19:30, ,Theaterschiff,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Theater,False
2,My Hometown - Ein Bruce Springsteen-Liederab­end,2024-12-12,2024-12-12,20:00, ,Theater Lübeck – Kammerspiele,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Theater,False
3,Name: Sophie Scholl,2024-12-12,2024-12-12,20:00, ,Theater Lübeck – Studio,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Theater,False
4,Nie wieder einsam,2024-12-12,2024-12-12,20:00, ,Theater Combinale,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Theater,False
5,Orgelmusik zum Weihnachtsmarkt,2024-12-12,2024-12-12,17:00, ,St. Jakobi,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
6,Weihnachtswunschliedersingen,2024-12-12,2024-12-12,17:00, ,Auferstehungskirche,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
7,Intonare: O magnum mysterium,2024-12-12,2024-12-12,19:00, ,Propsteikirche Herz Jesu,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
8,Irish-Xmas Party mit Glenfiddle - More than Folk!,2024-12-12,2024-12-12,19:00, ,Kolosseum,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
9,Reis Against The Spülmachine,2024-12-12,2024-12-12,19:00, ,Rider's Café,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
10,Days of August,2024-12-12,2024-12-12,20:00, ,Tonfink,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
11,Like Every Year - Christmas & Salt Peanuts,2024-12-12,2024-12-12,20:00, ,Schuppen 6,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Musik,True
12,"Dieses Gefühl, dass die Zeit, etwas zu tun, vorbei ist (OmU)",2024-12-12,2024-12-12,20:30, ,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Film,False
13,Reinas – Die Königinnen (OmU),2024-12-12,2024-12-12,18:00, ,Kommunales Kino Lübeck – Kino Koki,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Film,False
14,Gärtnern in der Stadt - Die grüne Vielfalt Lübecks,2024-12-12,2024-12-12,09:00, ,Museum für Natur und Umwelt,Lübeck,https://www.unser-luebeck.de/veranstaltungskalender/eventsnachtag/2024/12/12,Ausstellungen,False
