,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Faroon - Revenge Tour 2024,2024-12-10,2024-12-10,19:00, ,Hamburg,Hamburg,"Faroon geht auf große ""Revenge""-Tour! https://www.eventim.de/artist/faroon/",Konzert,True
1,LUCIA 2024 - Advent- und Weihnachtslieder | mit dem Chor der Schwedischen Kirche Hamburg,2024-12-10,2024-12-10,19:30, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/lucia-2024-advent-und-weihnachtslieder-mit-dem-chor-der-schwedischen-kirche-hamburg-3730297/,Konzert,True
2,MORLOCKKO PLUS presents SAMSEMILIA aka Samy Deluxe feat. SONNYJIM,2024-12-10,2024-12-10,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/samy-deluxe/morlockko-plus-presents-samsemilia-aka-samy-deluxe-feat-sonnyjim-3670049/,Konzert,True
3,Max Herre & Joy Denalane - Alles Liebe Tour '24,2024-12-10,2024-12-10,20:00, ,Hamburg,Hamburg,"Max Herre und Joy Denalane gehen auf gemeinsame ""Alles Liebe""-Tour! https://www.eventim.de/artist/max-herre-joy-denalane/max-herre-joy-denalane-alles-liebe-tour-24-3617711/",Konzert,True
4,Lizzard,2024-12-10,2024-12-10,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/lizzard/,Konzert,True
5,SPRINTS,2024-12-10,2024-12-10,21:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/sprints/,Konzert,True
6,Three For Silver,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg,Eine der spannendsten US-Folkbands überhaupt. https://www.eventim.de/artist/three-for-silver/,Konzert,True
7,Teho Teardo & Blixa Bargeld,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/blixa-bargeld/,Konzert,True
8,Berq - Live 2024,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg,"Berq geht Ende des Jahres auf erste ""Live 2024"" Headline-Tour durch Deutschland, Österreich und die Schweiz! https://www.eventim.de/artist/berq/berq-live-2024-3650376/",Konzert,True
9,Die Fantastischen Vier - Long Player On Tour 2024,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg,Die Fantastischen Vier gehen 2024 mit neuem Album auf große Arena-Tour! https://www.eventim.de/artist/die-fantastischen-vier/die-fantastischen-vier-long-player-on-tour-2024-3507912/,Konzert,True
10,Giant Crow + Silverships,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/giant-crow-silverships-3729031/,Konzert,True
11,SingAlong - Das große Mitsing-Event | Weihnachtslieder,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg,"Bist du bereit für einen unvergessliches Mitsing-Event? SingAlong lädt dich ein, gemeinsam mit Hunderten von Menschen die schönsten Weihnachtslieder zu singen! https://www.eventim.de/artist/singalong-das-grosse-mitsing-event/singalong-das-grosse-mitsing-event-weihnachtslieder-3679941/",Konzert,True
12,Jazeek 2002 Tour,2024-12-11,2024-12-11,20:00, ,Hamburg,Hamburg,"Jazeek geht zum Jahresende auf große ""2002""-Tour! https://www.eventim.de/artist/jazeek/jazeek-2002-tour-3647905/",Konzert,True
13,"Die Big Band der Bundeswehr ""Swinging Christmas"" feat. Markus Maria Profitlich",2024-12-11,2024-12-11,20:00, ,Cuxhaven,Cuxhaven, https://www.eventim.de/artist/markus-maria-profitlich/die-big-band-der-bundeswehr-swinging-christmas-feat-markus-maria-profitlich-3745797/,Konzert,True
14,Kontor Sunset Chill | Planetarium Hamburg,2024-12-11,2024-12-11,20:15, ,Hamburg,Hamburg, https://www.eventim.de/artist/planetarium-hamburg/kontor-sunset-chill-planetarium-hamburg-3345131/,Konzert,True
15,Days of August - european tour 2024,2024-12-11,2024-12-11,20:30, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/days-of-august-european-tour-2024-3724852/,Konzert,True
16,Royal Republic - The Lovecop Tour,2024-12-13,2024-12-13, , ,Hamburg,Hamburg, https://www.eventim.de/artist/royal-republic/royal-republic-the-lovecop-tour-2947860/,Konzert,True
17,Ecstatic Dance Hamburg Pia Rosa - Ecstatic Dance Events | Nirvaquest,2024-12-12,2024-12-12,19:00, ,Hamburg,Hamburg,Einfach glücklich Tanzen in Gemeinschaft herzlicher Menschen! https://www.eventim.de/artist/ecstatic-dance/ecstatic-dance-hamburg-pia-rosa-ecstatic-dance-events-nirvaquest-3769530/,Konzert,True
18,Kathy Kelly - Weihnachtskonzert,2024-12-12,2024-12-12,19:30, ,Bardowick,Bardowick,"Feinste Weihnachtsmusik, präsentiert von der herausragenden Sängerin der Kelly Family https://www.eventim.de/artist/kathy-kelly/kathy-kelly-weihnachtskonzert-3617868/",Konzert,True
19,Godewind - Weihnachtstournee 2024, , , , ,Michaeliskirche,Michaeliskirche, https://www.eventim.de/artist/godewind/,Konzert,True
20,Le Fly,2024-12-12,2024-12-12,20:00, ,Flensburg,Flensburg, https://www.eventim.de/artist/le-fly/le-fly-3420549/,Konzert,True
21,Max And Friends are coming to Town, , , , ,Deutsches Haus,Deutsches Haus, https://www.eventim.de/artist/max-and-friends-are-coming-to-town/,Konzert,True
22,Montell Fish - Charlotte European Tour - Age of Anima Deer,2024-12-12,2024-12-12,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/montell-fish/,Konzert,True
23,EN6O & skrt cobain - Funny Dinner Tour 2024,2024-12-12,2024-12-12,20:00, ,Hamburg,Hamburg,"skrt Cobain und EN6O gehen auf gemeinsame ""Funny Dinner""-Tour! https://www.eventim.de/artist/skrt-cobain/",Konzert,True
24,Känguru,2024-12-12,2024-12-12,20:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/kaenguru-3737534/,Konzert,True
25,ZATE x CED - Kopf vs. Herz Tour,2024-12-12,2024-12-12,20:00, ,Hamburg,Hamburg,Die beiden Musiker Zate x Ced kommen auf eine gemeinsame Tour! https://www.eventim.de/artist/zate/,Konzert,True
26,Justice - Hyperdrama Tour,2024-12-12,2024-12-12,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/justice/,Konzert,True
27,Torfrock - Bagaluten-Wiehnachts Tour,2024-12-12,2024-12-12,20:00, ,Kiel,Kiel, https://www.eventim.de/artist/torfrock/torfrock-bagaluten-wiehnachts-tour-3241120/,Konzert,True
28,The Cinelli Brothers,2024-12-12,2024-12-12,20:30, ,Hamburg,Hamburg, https://www.eventim.de/artist/the-cinelli-brothers/,Konzert,True
29,Damona - Talking With Myself Tour 2024,2024-12-12,2024-12-12,21:00, ,Hamburg,Hamburg,Eskapaden Booking präsentiert Damona mit Ihrer Talking with myself Tour 2024 https://www.eventim.de/artist/damona/,Konzert,True
30,As I Lay Dying,2024-12-13,2024-12-13,18:15, ,Hamburg,Hamburg,"As I Lay Dying gehen auf ""Through Storms Ahead""-Tour durch Europa! Mit dabei: Decapitated, Caliban und Ov Sulfur! https://www.eventim.de/artist/as-i-lay-dying/",Konzert,True
31,Ella Endlich - Endlich Weihnachten,2024-12-13,2024-12-13,19:00, ,Wismar,Wismar,Ella Endlich wird mit ihrem Vater Norbert Endlich das Konzertpublikum erneut mit Weihnachtsgeschichten und echtem musikalischem Können durch die Weihnachtszeit begleiten. https://www.eventim.de/artist/ella-endlich/ella-endlich-endlich-weihnachten-3420092/,Konzert,True
32,Triosence,2024-12-13,2024-12-13,20:00, ,Hamburg,Hamburg,"triosence "".. die neuen Gesichter des deutschen Jazz .."" (STERN). Musik die nicht nur eingefleischte Jazzkenner anzieht, sondern einfach Harmonie und Lebensfreude verbreitet. https://www.eventim.de/artist/triosence/",Konzert,True
33,Big Sleep,2024-12-13,2024-12-13,20:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/big-sleep-3700365/,Konzert,True
34,Powerslave - Iron Maiden Tribute,2024-12-13,2024-12-13,20:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/powerslave/powerslave-iron-maiden-tribute-3595255/,Konzert,True
35,Julius Fischer & Christian Meyer,2024-12-13,2024-12-13,20:00, ,Hamburg,Hamburg,Die außerordentlichen Weihnachtsexperten Julius Fischer und Christian Meyer zelebrieren endlich wieder auf ihre unnachahmlich bescheuerte Art das Fest der Liebe! https://www.eventim.de/artist/julius-fischer/julius-fischer-christian-meyer-2630471/,Konzert,True
36,Weitersagen singt Westernhagen, , , , ,Kolosseum,Kolosseum,Seit über 15 Jahren tourt Andreas Weitersagen mit seiner Weitersagenshow sehr erfolgreich durch Europa. https://www.eventim.de/artist/andreas-marius-weitersagen/weitersagen-singt-westernhagen-2684660/,Konzert,True
37,Matthias Reim - Live 2024,2024-12-13,2024-12-13,20:00, ,Kiel,Kiel,Kultstar & Musiklegende Matthias Reim – 30 Jahre Erfolgsgeschichte und kein bisschen leise! https://www.eventim.de/artist/matthias-reim/matthias-reim-live-2024-2785916/,Konzert,True
38,Night of the Proms 2024,2024-12-13,2024-12-13,20:00, ,Hamburg,Hamburg,"Staraufgebot bei der Night of the Proms 2024: Shaggy, Dave Stewart’s Eurythmics, Cutting Crew, Starship feat. Mickey Thomas, Max Giesinger und Louis Philippson https://www.eventim.de/artist/night-of-the-proms/night-of-the-proms-2024-3530735/",Konzert,True
39,Bon Scott,2024-12-13,2024-12-13,20:00, ,Lübeck,Lübeck,"Seit dem Jahre 1986 besteht BON SCOTT, eine der dienstältesten AC/DC Tributebands Deutschlands. https://www.eventim.de/artist/bon-scott-tribute-to-acdc/",Konzert,True
40,Noisetime x Prime,2024-12-13,2024-12-13,22:00, ,Kiel,Kiel,Noisetime besucht uns wieder auf der Prime in Kiel! https://www.eventim.de/artist/noisetime/,Konzert,True
41,Shlomo,2024-12-13,2024-12-13,23:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/shlohmo/,Konzert,True
42,Walhalla - Festival Der Helden,2024-12-14,2024-12-14,15:00, ,Neumünster,Neumünster, https://www.eventim.de/artist/walhalla-festival-der-helden/,Konzert,True
43,Deniz & Ove,2024-12-14,2024-12-14,16:00, ,Flensburg,Flensburg,Deniz & Ove begeistern mit ihren Songs jung & alt! https://www.eventim.de/artist/deniz-und-ove/,Konzert,True
44,Tristan Brusch - Am Wahn Tour 2024,2024-12-14,2024-12-14,18:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/tristan-brusch/,Konzert,True
45,Philipp & Gonzalo - Frohe Navidad,2024-12-14,2024-12-14,18:00, ,Hamburg,Hamburg,"Die Musicalstars aus König der Löwen und Hercules laden zu einem festlichen Abend ein. Mit einer einzigartigen Auswahl an Liedern, die Herzen berühren und perfekt auf die Weihnachtszeit einstimmen! https://www.eventim.de/eventseries/philipp-gonzalo-frohe-navidad-3770468/",Konzert,True
46,Lordfest 2024 - Lord of the Lost + Oomph! + Special Guests,2024-12-14,2024-12-14,18:00, ,Hamburg,Hamburg,Lord of the Lost veranstalten 2024 wieder gemeinsam mit Special Guests ihr legendäres Lordfest! https://www.eventim.de/artist/lord-of-the-lost/lordfest-2024-lord-of-the-lost-oomph-special-guests-3550176/,Konzert,True
47,Kreator & Anthrax - with Special Guest: Testament,2024-12-14,2024-12-14,18:30, ,Hamburg,Hamburg, https://www.eventim.de/artist/kreator/kreator-anthrax-with-special-guest-testament-3573812/,Konzert,True
48,Sondaschule - Playoffs 2024 plus special guest Grade 2,2024-12-14,2024-12-14,19:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/sondaschule/sondaschule-playoffs-2024-plus-special-guest-grade-2-3616320/,Konzert,True
49,Neverland In Ashes - Live On The Horizon 2024,2024-12-14,2024-12-14,19:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/neverland-in-ashes/neverland-in-ashes-live-on-the-horizon-2024-3617134/,Konzert,True
50,Paul Weber - Es könnte schön sein Tour,2024-12-14,2024-12-14,19:00, ,Hamburg,Hamburg, https://www.eventim.de/eventseries/paul-weber-es-koennte-schoen-sein-tour-3661149/,Konzert,True
51,Brunsbüttel Singt,2024-12-14,2024-12-14,19:00, ,Brunsbüttel,Brunsbüttel, https://www.eventim.de/eventseries/brunsbuettel-singt-3293652/,Konzert,True
52,Jaill - Tinte & Tragik Tour 2024,2024-12-14,2024-12-14,19:00, ,Hamburg,Hamburg, https://www.eventim.de/artist/jaill-rap/,Konzert,True
53,Musical Unplugged - Christmas Edition 2024,2024-12-14,2024-12-14,19:30, ,Itzehoe,Itzehoe, https://www.eventim.de/eventseries/musical-unplugged-christmas-edition-2024-3617114/,Konzert,True
54,Jazzy Christmas - Niederdeutsche Bühne Flensburg,2024-12-14,2024-12-14,20:00, ,Flensburg,Flensburg, https://www.eventim.de/artist/niederdeutsche-buehne-flensburg/jazzy-christmas-niederdeutsche-buehne-flensburg-3720644/,Konzert,True
