,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Der Mensch dahinter,2024-12-10,2024-12-10,08:00,18:00,Rathaus Kiel,Kiel,https://kiel-sailing-city.de/e/der-mensch-dahinter/o-ab71d36e-6fa2-4964-8eb3-f38d24b0ad24,"['Ausstellung', 'Kultur']",False
1,Mit Herodot auf Reisen,2024-12-10,2024-12-10,09:00,22:00,Universitätsbibliothek Kiel,Kiel,https://kiel-sailing-city.de/e/mit-herodot-auf-reisen/o-7bc4c253-d1de-46db-82d8-97216e6f0dd4,"['Ausstellung', 'Kultur', 'Wissenschaft']",False
2,Weihnachtsmarkt im CITTI-Park,2024-12-10,2024-12-10,09:00,20:00,CITTI-PARK,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-im-citti-park/o-ad82812e-a67d-414d-a7d2-a409271bcf48,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",True
3,Prima Kunst: Schirin Rafii - Kalte Füße,2024-12-10,2024-12-10,10:00,17:00,Stadtgalerie Kiel,Kiel,https://kiel-sailing-city.de/e/prima-kunst-schirin-rafii-kalte-fuesse/o-40aa468b-90a7-4b4c-bd79-9daff650a17b,"['Ausstellung', 'Kultur']",False
4,Kiel festhalten. Stadtansichten von Gretel Riemann,2024-12-10,2024-12-10,10:00,18:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kiel-festhalten-stadtansichten-von-gretel-riemann/o-5cfc21f6-93ce-4929-ad80-e7030c7e9dc4,"['Ausstellung', 'Kultur']",False
5,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",2024-12-10,2024-12-10,10:00,18:00,Schifffahrtsmuseum,Kiel,https://kiel-sailing-city.de/e/marine-werften-segelsport-die-geschichte-der-hafenstadt-kiel/o-8e367332-c8aa-4a2c-9ded-a0cd38033b75,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",False
6,"Ein Funke im System. Revision, Perturbation, Selbstdekonstruktion",2024-12-10,2024-12-10,10:00,17:00,Stadtgalerie Kiel,Kiel,https://kiel-sailing-city.de/e/ein-funke-im-system-revision-perturbation-selbstdekonstruktion/o-b1c95077-2352-42c7-a1c3-9c0dac92772b,"['Ausstellung', 'Kultur']",False
7,HIER UND JETZT – gemeinsam für Demokratie,2024-12-10,2024-12-10,10:00,18:00,vhs-Kunstschule,Kiel,https://kiel-sailing-city.de/e/hier-und-jetzt-gemeinsam-fuer-demokratie-1/o-bad0d54f-321b-4cbf-a5c5-e2d41bb1facd,"['Ausstellung', 'Kultur']",False
8,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,2024-12-10,2024-12-10,10:00,18:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/kaufrausch-konsum-und-warenwelten-der-1980er-jahre/o-c583a8c9-0bd4-4392-a288-5c1f24e28086,"['Ausstellung', 'Kultur', 'Kultursommer']",False
9,Weihnachten im Sophienhof,2024-12-10,2024-12-10,10:00,20:00,Sophienhof,Kiel,https://kiel-sailing-city.de/e/weihnachten-im-sophienhof/o-d6b3f64e-d5ce-4055-9502-37a5530fa429,"['Kinderprogramm', 'Shopping', 'Kultur', 'Märkte']",False
10,Wohltemperiert. Für klimagerechte Architektur!,2024-12-10,2024-12-10,10:00,16:00,Freilichtmuseum Molfsee,Kiel,https://kiel-sailing-city.de/e/wohltemperiert-fuer-klimagerechte-architektur/o-e40dfc61-72de-42f9-9103-ad040a891d06,"['Ausstellung', 'Kultur']",False
11,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,2024-12-10,2024-12-10,10:00,18:00,Stadtmuseum Warleberger Hof,Kiel,https://kiel-sailing-city.de/e/der-gewoelbekeller-kostbarkeiten-aus-dem-alten-kiel-1/o-fc7cf107-7357-49a6-81aa-3572094ebda1,"['Ausstellung', 'Kultur', 'Kultursommer']",False
12,Licht & Schatten,2024-12-10,2024-12-10,11:00,18:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/licht-schatten/o-02d07d9e-2eb6-4026-b727-5decf23479d0,"['Kultur', 'Ausstellung']",False
13,Kunstraum Sconeberg mit ganzjährigem Ausstellungsangebot,2024-12-10,2024-12-10,11:00,18:00,Kunstraum Sconeberg,Kiel,https://kiel-sailing-city.de/e/kunstraum-sconeberg-mit-ganzjaehrigem-ausstellungsangebot/o-4adf6d80-78b1-44ce-9666-65895ad4a618,"['Ausstellung', 'Kultur']",False
14,Kunsthandwerk erleben (ABGESAGT),2024-12-10,2024-12-10,11:00,18:00,Pop-up Pavillon,Kiel,https://kiel-sailing-city.de/e/kunsthandwerk-erleben-abgesagt/o-aa7ccb8b-6cff-4bac-b3c3-1b1950501df1,"['Ausstellung', 'Kultur']",False
15,Weihnachtsmarkt - Holstenplatz,2024-12-10,2024-12-10,11:00,20:00,Holstenplatz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-holstenplatz/o-c065515c-cd27-48f9-9029-336872ffdf76,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
16,Weihnachtsmarkt Rathausplatz,2024-12-10,2024-12-10,11:00,21:00,Rathausplatz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-rathausplatz/o-c80732fc-09d2-4315-a337-4ae94d0a07bc,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
17,Weihnachtsmarkt - Asmus-Bremer-Platz,2024-12-10,2024-12-10,11:00,20:00,Asmus-Bremer-Platz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-asmus-bremer-platz/o-ca6c73fb-a169-4f6e-bb76-110271ed0731,"['Gastronomie', 'Kinderprogramm', 'Regionale Spezialitäten', 'Kultur', 'Märkte']",False
18,"Riesenrad am Bahnhof ""La Noria""",2024-12-10,2024-12-10,11:00,21:00,Kiel Hauptbahnhof,Kiel,https://kiel-sailing-city.de/e/riesenrad-am-bahnhof-la-noria/o-fafaa324-0615-4e96-a62c-7e95b2268cd5,"['Kultur', 'Sport/Freizeit']",False
19,Weihnachtsmarkt Bernhard-Minetti-Platz / Holtenauer Straße,2024-12-10,2024-12-10,12:00,21:00,Bernhard-Minetti-Platz,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-bernhard-minetti-platz-holtenauer-strasse/o-223ed02e-4b60-434d-b1f4-552bd3058e2a,"['Märkte', 'Kultur', 'Gastronomie', 'Kinderprogramm']",False
20,Wintermarkt Bootshafen,2024-12-10,2024-12-10,12:00,21:00,Bootshafen,Kiel,https://kiel-sailing-city.de/e/wintermarkt-bootshafen/o-f5d1e008-5cb0-4662-9317-7374f8bdd72d,"['Gastronomie', 'Regionale Spezialitäten', 'Kultur', 'Märkte', 'Nachtleben']",True
21,Stadtwerke Eisfestival,2024-12-10,2024-12-10,13:00,20:00,Germaniahafen,Kiel,https://kiel-sailing-city.de/e/stadtwerke-eisfestival-1/o-ff1c49f5-48fb-4d17-82f6-01bd09798a24,"['Sport/Freizeit', 'Kinderprogramm', 'Kultur']",False
22,WärmeZeit,2024-12-10,2024-12-10,15:00,17:00,Hof Akkerboom e.V.,Kiel,https://kiel-sailing-city.de/e/waermezeit-1/o-a09c3044-a95e-4194-9d15-6a0866b3e65a,['Kultur'],False
23,Bilderbuchkino: Ein Weihnachtswunder für drei,2024-12-10,2024-12-10,16:00,16:30,Stadtteilbücherei Mettenhof,Kiel,https://kiel-sailing-city.de/e/bilderbuchkino-ein-weihnachtswunder-fuer-drei/o-e07935c4-12ea-47e9-9e3c-49ebf1bf6377,"['Kinderprogramm', 'Lesungen']",False
24,Vom Fremden Erzählen: Herodot in Ägypten.,2024-12-10,2024-12-10,16:00,18:00,Universitätsbibliothek Kiel,Kiel,https://kiel-sailing-city.de/e/vom-fremden-erzaehlen-herodot-in-aegypten/o-f82d271b-72f9-4790-bfb1-8b4fef1b3e82,"['Führung/Besichtigung', 'Kultur', 'Wissenschaft']",False
25,Hansen und die Sache mit dem Pinguin,2024-12-10,2024-12-10,17:00,18:00,Niederdeutsche Bühne,Kiel,https://kiel-sailing-city.de/e/hansen-und-die-sache-mit-dem-pinguin/o-655d9809-9144-40e2-89ae-364dbac76140,"['Kinderprogramm', 'Kultur', 'Theater']",False
26,EisDISCO powered by Casino Kiel,2024-12-10,2024-12-10,18:00,21:00,Germaniahafen,Kiel,https://kiel-sailing-city.de/e/eisdisco-powered-by-casino-kiel-1/o-17607b6b-5b55-4330-9779-67cdf3eef35d,"['Kultur', 'Sport/Freizeit']",False
27,"""Home for Christmas"" - Das Weihnachtskonzert Altenholz",2024-12-10,2024-12-10,19:30,22:00,Eivind-Berggrav-Zentrum,Kiel,https://kiel-sailing-city.de/e/home-for-christmas-das-weihnachtskonzert-altenholz/o-c1e862e3-478f-443c-9fa3-ed15912b1278,"['Konzert', 'Kultur']",True
28,The Scottish Music Parade,2024-12-10,2024-12-10,20:00,22:30,Wunderino Arena,Kiel,https://kiel-sailing-city.de/e/the-scottish-music-parade/o-61b5343e-43c2-4069-aeea-d95230cb6e44,"['Konzert', 'Kultur']",True
29,Harald Martenstein: „Es wird Nacht Senoritá“,2024-12-10,2024-12-10,20:00,22:00,KulturForum in der Stadtgalerie,Kiel,https://kiel-sailing-city.de/e/harald-martenstein-es-wird-nacht-senorita/o-78ef62ec-d520-49ac-9279-19ec720a995b,['Kultur'],False
30,"The Culturitical working group of the Cultural and Media Studies Department of the English Department at Kiel University presents: „We're doomed. Or are we?""",2024-12-10,2024-12-10,20:00,22:00,Kommunikationszentrum Hansastrasse 48 e. V.,Kiel,https://kiel-sailing-city.de/e/the-culturitical-working-group-of-the-cultural-and-media-studies-department-of-the-english-department-at-kiel-university-presents-were-doomed-or-are-we/o-a078680e-4b71-455b-906d-4289fbbc7953,"['Kultur', 'Wissenschaft']",False
31,Karaoke,2024-12-10,2024-12-10,22:00,02:00,Pogue Mahone Irish Pub,Kiel,https://kiel-sailing-city.de/e/karaoke/o-6c642406-a632-4387-88aa-f0e19e8fb280,"['Kultur', 'Nachtleben', 'Kultursommer']",True
32,Der Mensch dahinter,2024-12-11,2024-12-11,08:00,18:00,Rathaus Kiel,Kiel,https://kiel-sailing-city.de/e/der-mensch-dahinter/o-a19d164d-01c7-4e56-8f8d-a33e27cfe8bb,"['Ausstellung', 'Kultur']",False
33,Mit Herodot auf Reisen,2024-12-11,2024-12-11,09:00,22:00,Universitätsbibliothek Kiel,Kiel,https://kiel-sailing-city.de/e/mit-herodot-auf-reisen/o-5f8e22ea-0053-470d-ae9d-1234e63ba86a,"['Ausstellung', 'Kultur', 'Wissenschaft']",False
34,Weihnachtsmarkt im CITTI-Park,2024-12-11,2024-12-11,09:00,20:00,CITTI-PARK,Kiel,https://kiel-sailing-city.de/e/weihnachtsmarkt-im-citti-park/o-a2eda660-1a8e-4bee-b182-20b77f463390,"['Gastronomie', 'Kinderprogramm', 'Konzert', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit', 'Kultur']",True
