,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,Advents-Schülerinnen-Konzert,2024-12-15,2024-12-15,11:00, ,KulturWerk Rahlstedt,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40355663/150922495,konzerte,True
1,Hasi-Konzert,2024-12-15,2024-12-15,11:00, ,Laeiszhalle (Studio E),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40479009/151282196,konzerte,True
2,Philharmonisches Staatsorchester Hamburg / Selina Ott / Marie Jacquot,2024-12-15,2024-12-15,11:00, ,Elbphilharmonie (Großer Saal),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40478523/151280017,konzerte,True
3,Weihnachtsbabyzusatzkonzert Hamburg,2024-12-15,2024-12-15,13:00, ,Kultur Palast Hamburg,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40366388/150950573,konzerte,True
4,Dornröschen,2024-12-15,2024-12-15,13:00, ,Theater an der Marschnerstrasse,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40305520/150895021,konzerte,True
5,Heart Wide Open - Mantras & Positive Pop,2024-12-15,2024-12-15,15:00, , ,"Hamburg,",https://veranstaltungen.meinestadt.de/hamburg/event-detail/40493700/151321759,konzerte,True
6,J.S. Bach Weihnachtsoratorium I-III,2024-12-15,2024-12-15,16:00, ,Kreuzkirche Alt-Barmbek,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40347511/150890388,konzerte,True
7,Weihnachten mit den Workshoppers,2024-12-15,2024-12-15,16:00, ,Kulturhaus Eidelstedt,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40346838/150887241,konzerte,True
8,Weihnachts-Chorprojekt,2024-12-15,2024-12-15,16:00, ,Jubilate-Kirche Billstedt,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40428269/151127425,konzerte,True
9,SySanLi feat. Nenad Lautarevic - Gospel-Pop - Gospel-Pop-Konzert,2024-12-15,2024-12-15,16:00, ,Burg Henneberg,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40467621/151246260,konzerte,True
10,Adventskonzert,2024-12-15,2024-12-15,16:00, ,Sankt-Pankratius Kirche zu Ochsenwerder,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40490684/151313894,konzerte,True
11,Adventskonzert zum 3.Advent mit HafengeBEAT und ES GROOVT,2024-12-15,2024-12-15,16:00, ,Pauluskirche,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40227751/150533764,konzerte,True
12,»Stimmen des Lichts« ArtnVoices - a-cappella von Bach bis Sting,2024-12-15,2024-12-15,16:00, ,Ev. Kirche Bargteheide,Hammoor,https://veranstaltungen.meinestadt.de/hammoor/event-detail/40345459/150881245,konzerte,True
13,Adventskonzert von Soulful Gospel,2024-12-15,2024-12-15,17:00, ,Lutherkirche,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40258191/150624396,konzerte,True
14,Adventskonzert der Gemeinde,2024-12-15,2024-12-15,17:00, ,Christus-Kirche Wandsbek,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40237388/150561843,konzerte,True
15,Heimfelder Adventsmusik bei Kerzenschein,2024-12-15,2024-12-15,17:00, ,St. Pauluskirche Heimfeld,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351176/150906748,konzerte,True
16,Johann Sebastian Bach: Weihnachtsoratorium 1-6,2024-12-15,2024-12-15,17:00, ,Kirche am Rockenhof,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351710/150908943,konzerte,True
17,MUSIK IM KERZENSCHEIN,2024-12-15,2024-12-15,17:00, ,Martin-Luther-Kirche,Großensee/Kr. Stormarn,https://veranstaltungen.meinestadt.de/trittau/event-detail/40352633/150912852,konzerte,True
18,Noël en France - Musikalischer Abendgottesdienst,2024-12-15,2024-12-15,17:00, ,Matthäuskirche Winterhude,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40347745/150891427,konzerte,True
19,Adventkonzert am 15. Dezember um 17 Uhr,2024-12-15,2024-12-15,17:00, ,Thomaskirche Hausbruch,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40226308/150529581,konzerte,True
20,Come and Sing! Konzert im Advent,2024-12-15,2024-12-15,17:00, ,Versöhnungskirche,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40345704/150882362,konzerte,True
21,Weihnachtskonzert mit Chören und Trompete,2024-12-15,2024-12-15,17:00, ,St.Severini-Kirche,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40346917/150887488,konzerte,True
22,Feierabendchor & Freunde,2024-12-15,2024-12-15,17:00, ,Zinnschmelze,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40352258/150911273,konzerte,True
23,"UNDUZO - ""Von Männern, Eseln und Maria""",2024-12-15,2024-12-15,17:00, ,Schloss Reinbek,Reinbek,https://veranstaltungen.meinestadt.de/reinbek/event-detail/40349947/150901468,konzerte,True
24,Advents- und Weihnachtsliedersingen,2024-12-15,2024-12-15,17:00, ,Kreuzkirche Ottensen,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40478913/151281956,konzerte,True
25,Neuer Knabenchor - Festival Of Nine Lessons And Carols,2024-12-15,2024-12-15,17:30, ,Christianskirche Altona,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40452568/151204084,konzerte,True
26,In dulci jubilo – Weihnachtliche Chormusik,2024-12-15,2024-12-15,18:00, ,St. Johannis-Kirche Eppendorf,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351224/150907264,konzerte,True
27,NDR Elbphilharmonie Orchester / Jean-Yves Thibaudet / Marek Janowski,2024-12-15,2024-12-15,18:00, ,Elbphilharmonie (Großer Saal),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40452363/151202909,konzerte,True
28,Adventskonzert mit dem Jungen Chor Reinbek,2024-12-15,2024-12-15,18:00, ,Nathan-Söderblom-Kirche,Reinbek,https://veranstaltungen.meinestadt.de/reinbek/event-detail/40250748/150601652,konzerte,True
29,Weihnachtskonzert mit dem Blasorchester,2024-12-15,2024-12-15,18:00, ,Stiftskirche Ramelsloh,Seevetal,https://veranstaltungen.meinestadt.de/seevetal/event-detail/40366317/150950140,konzerte,True
30,Weihnachtliches Orgelkonzert,2024-12-15,2024-12-15,18:00, ,Martin-Luther-Kirche Hamburg-Alsterdorf,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40377588/150986542,konzerte,True
31,Karat,2024-12-15,2024-12-15,18:00, ,Laeiszhalle (Großer Saal),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40348545/150894967,konzerte,True
32,Weihnachtstheaterstück „Lost in Gütersloh“,2024-12-15,2024-12-15,18:00, ,St. Markus-Kirche Hoheluft,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40345942/150883534,konzerte,True
33,Johann Sebastian Bach - Weihnachtsoratorium I+III - Magnificat D-Dur BWV 243,2024-12-15,2024-12-15,18:00, ,St. Johannis – Kulturkirche Altona,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40350392/150903347,konzerte,True
34,Konzertstunde im Advent,2024-12-15,2024-12-15,18:00, ,St.-Martins-Kirche,Jesteburg,https://veranstaltungen.meinestadt.de/jesteburg/event-detail/40439775/151163322,konzerte,True
35,KARAT,2024-12-15,2024-12-15,18:00, ,Laeiszhalle,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36529440/119272157,konzerte,True
36,Kaminfeuer: Hamburger Camerata Adventskonzert,2024-12-15,2024-12-15,18:00, ,Sasel-Haus (Großer Saal),Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351046/150906312,konzerte,True
37,Abendgottesdienst,2024-12-15,2024-12-15,18:00, ,Kirche Sinstorf,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40478593/151280356,konzerte,True
38,Chor- und Orgelkonzert zum Advent,2024-12-15,2024-12-15,18:00, ,Kirche am Markt Blankenese,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40347665/150891109,konzerte,True
39,Donkey Kid,2024-12-15,2024-12-15,19:00, ,Uebel & Gefährlich / Turmzimmer,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40116946/150287457,konzerte,True
40,Donkey Kid,2024-12-15,2024-12-15,19:00, ,Uebel & Gefährlich,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40351221/150907197,konzerte,True
41,Sei ein Mensch - Weihnachtskonzert der Chöre der St. Pauli Kirche,2024-12-15,2024-12-15,19:00, ,St. Pauli Kirche,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40429014/151130829,konzerte,True
42,Artem Yasynskyy - Pianovision Konzerte,2024-12-15,2024-12-15,19:00, ,Theater im Zimmer,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40348858/150896015,konzerte,True
43,Singen.Mit.Singen - Weihnachtliches Mitsingkonzert,2024-12-15,2024-12-15,19:00, ,St. Andreas-Kirche am Grindel,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40478658/151280541,konzerte,True
44,Bitte Lächeln,2024-12-15,2024-12-15,19:00, ,Goldbekhaus,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40346978/150887799,konzerte,True
45,Chess in concert,2024-12-15,2024-12-15,19:00, ,Grund- und Gemeinschaftsschule GuGs Pinneberg,Pinneberg,https://veranstaltungen.meinestadt.de/pinneberg/event-detail/40352783/150913200,konzerte,True
46,Terror - Herbst/Winter 2024,2024-12-15,2024-12-15,19:30, ,Gruenspan,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40129819/150311058,konzerte,True
47,Das Hamburger Weihnachtssingen | Logen-Seat in der Ticketmaster Suite,2024-12-15,2024-12-15,19:30, ,Barclays Arena,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40205090/150482283,konzerte,True
48,Das Hamburger Weihnachtssingen,2024-12-15,2024-12-15,19:30, ,Barclays Arena,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40098684/150250101,konzerte,True
49,Ell - Tour 2024,2024-12-15,2024-12-15,19:30, ,NOCHTWACHE,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36700004/119775816,konzerte,True
50,Ell,2024-12-15,2024-12-15,19:30, ,Nochtspeicher & Nochtwache,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40346151/150884300,konzerte,True
51,Das Hamburger Weihnachtssingen,2024-12-15,2024-12-15,19:30, ,Barclays Arena,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40352696/150912948,konzerte,True
52,LIEDFETT & Friends - Grober Unfug,2024-12-15,2024-12-15,20:00, ,Grosse Freiheit 36,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/36752146/119966210,konzerte,True
53,absent - Nostalgia Tour 2024,2024-12-15,2024-12-15,20:00, ,Docks,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40265755/150650272,konzerte,True
54,Worm,2024-12-15,2024-12-15,20:00, ,LOGO,Hamburg,https://veranstaltungen.meinestadt.de/hamburg/event-detail/40133367/150333096,konzerte,True
