,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,MvdE-Konzert: Adventsspezial mit Melima,2024-12-15,2024-12-15,16:00, ,Café Nova,Hamburg,"https://rausgegangen.de/events/mvde-konzert-adventsspezial-mit-melima-0/ , Preis: Eintritt frei",Konzerte & Musik,True
1,Bitte Lächeln!,2024-12-15,2024-12-15,19:00, ,Goldbekhaus,Hamburg,"https://rausgegangen.de/events/bitte-lacheln-5/ , Preis: 10,00 €",Konzerte & Musik,True
2,Singen.Mit.Singen - Weihnachtliches Mitsingkonzert,2024-12-15,2024-12-15,19:00, ,Kirche St. Andreas,Hamburg,"https://rausgegangen.de/events/singenmitsingen-weihnachtliches-mitsingkonzert-1/ , Preis: 10,00 €",Konzerte & Musik,True
3,CRO - CRONICLES TOUR 2024,2024-12-15,2024-12-15,19:30, ,Wunderino Arena,Hamburg,"https://rausgegangen.de/events/cro-cronicles-tour-2024-kiel-0/ , Preis: z.Zt. nicht verfügbar",Konzerte & Musik,True
4,Donkey Kid Tour,2024-12-15,2024-12-15,20:00, ,Uebel und Gefährlich,Hamburg,"https://rausgegangen.de/events/donkey-kid-tour-16/ , Preis: 27,50 €",Konzerte & Musik,True
5,TERROR - European Tour 2024,2024-12-15,2024-12-15,20:00, ,GRUENSPAN,Hamburg,"https://rausgegangen.de/events/terror-europeantour-2024-6/ , Preis: 30,00 €",Konzerte & Musik,True
6,Songs from home,2024-12-16,2024-12-16,18:30, ,Goldbekhaus,Hamburg,"https://rausgegangen.de/events/songs-from-home-10/ , Preis: Eintritt frei",Konzerte & Musik,True
7,"Bidla Buh: Advent, Advent, der Kaktus brennt...",2024-12-16,2024-12-16,19:30, ,Ohnsorg-Theater,Hamburg,"https://rausgegangen.de/events/bidla-buh-advent-advent-der-kaktus-brennt-0/ , Preis: 30,24 bis 36,96 €",Konzerte & Musik,True
8,Radio Triebwerk Trio im Jazzraum,2024-12-16,2024-12-16,19:30, ,Hafenbahnhof,Hamburg,"https://rausgegangen.de/events/radio-triebwerk-trio-im-jazzraum-0/ , Preis: 8,00 bis 15,00 €",Konzerte & Musik,True
9,J. Bernardt,2024-12-16,2024-12-16,20:00, ,KNUST Hamburg,Hamburg,"https://rausgegangen.de/events/j-bernardt-4/ , Preis: 25,00 €",Konzerte & Musik,True
10,Kammermusik: Weihnachtskonzert der Blechbläser des NDR EO,2024-12-16,2024-12-16,20:00, ,Rolf Liebermann Studio,Hamburg,"https://rausgegangen.de/events/ndr-kammerkonzert-im-rls-weihnachtskonzert-der-blechblaser-d-0/ , Preis: 10,00 bis 24,00 €",Konzerte & Musik,True
11,Marlo Grosshardt,2024-12-16,2024-12-16,20:00, ,Mojo Club,Hamburg,"https://rausgegangen.de/events/marlo-grosshardt-10/ , Preis: 23,00 bis 26,00 €",Konzerte & Musik,True
12,Marlo Grosshardt- „Alles bis Italien - Tour“,2024-12-16,2024-12-16,20:00, ,Mojo Club,Hamburg,"https://rausgegangen.de/events/marlo-grosshardt-alles-bis-italien-tour-15/ , Preis: 22,95 €",Konzerte & Musik,True
