,Subject,Start_date,End_date,Start_time,End_time,Location,City,Description,Category,Music_label
0,DAY SPA MIT MEERBLICK,2024-12-10,2024-12-10,07:00,22:00,ATLANTIC Grand Hotel Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-day-spa-mit-meerblick-2?eventDateId=1980940&widgetToken=zOpiJSoCowQ.&,Sonstiges,False
1,KINDERKUNST IM RATHAUS: DIE OGS AM REESENBüTTEL PRäSENTIERT IHRE WERKE,2024-12-10,2024-12-10,08:00,12:00,Rathaus Ahrensburg (Foyer),Ahrensburg,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kinderkunst-im-rathaus-die-ogs-am-reesenbuettel-praesentiert-ihre-werke?eventDateId=2080668&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
2,TIERISCH NORDISCH,2024-12-10,2024-12-10,08:00,18:00,Galerie Premium Mobile Kuntz,Gettorf,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-tierisch-nordisch?eventDateId=2133455&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
3,WEIT MEHR ALS MEER | KUNSTWERKE AUS LEIDENSCHAFT,2024-12-10,2024-12-10,08:00,17:00,Kanzlei am Hafen,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-weit-mehr-als-meer-kunstwerke-aus-leidenschaft-3?eventDateId=1979984&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
4,WINDART SKULPTUREN WALK,2024-12-10,2024-12-10,08:00, ,verschiedene Spielstätten in Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-windart-skulpturen-walk-2?eventDateId=1841353&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
5,WINDART SKULPTUREN WALK,2024-12-10,2024-12-10,08:00,23:00,verschiedene Orte in Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-windart-skulpturen-walk-3?eventDateId=1981140&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
6,WOCHENMARKT NEUSTADT IN HOLSTEIN - KAUF FRISCH UND VOR ORT,2024-12-10,2024-12-10,08:00,13:00,Marktplatz Neustadt in Holstein,Neustadt in Holstein,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wochenmarkt-neustadt-in-holstein-kauf-frisch-und-vor-ort?eventDateId=1848802&widgetToken=zOpiJSoCowQ.&,Kulinarisch,False
7,YOGA-KURSE | KURSE NACH KURSPLAN,2024-12-10,2024-12-10,08:30,19:45,Yogazentrum Travemünde,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-yoga-kurse-kurse-nach-kursplan-1?eventDateId=2012012&widgetToken=zOpiJSoCowQ.&, ,False
8,"AUSSTELLUNG ""BEGEGNUNG"" DER KüNSTLERINNEN MEGI BALZER UND ULRIKE DILLIG",2024-12-10,2024-12-10,09:00,12:00,Rathaus,Heiligenhafen,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-ausstellung-begegnung-der-kuenstlerinnen-megi-balzer-und-ulrike-dillig?eventDateId=2133480&widgetToken=zOpiJSoCowQ.&,sonstige Kunst & Kultur,False
9,GäRTNERN IN DER STADT,2024-12-10,2024-12-10,09:00,17:00,Museum für Natur und Umwelt,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-gaertnern-in-der-stadt-1?eventDateId=1833438&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
10,KUNSTAUSSTELUNG ZUM ADVENT,2024-12-10,2024-12-10,09:00,13:00,Gold- und Silberschmiede „Seemannsgold“,Glückstadt,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kunstausstelung-zum-advent?eventDateId=2000550&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
11,NIEDEREGGER WEIHNACHTSBASAR,2024-12-10,2024-12-10,09:00,19:00,Café Niederegger,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-niederegger-weihnachtsbasar-1?eventDateId=2024839&widgetToken=zOpiJSoCowQ.&,Weihnachtsmärkte,False
12,NIEDEREGGER WEIHNACHTSBASAR,2024-12-10,2024-12-10,09:00,19:00,Café Niederegger,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-niederegger-weihnachtsbasar?eventDateId=2024880&widgetToken=zOpiJSoCowQ.&,Weihnachtsmärkte,False
13,TIERE IM HOTEL,2024-12-10,2024-12-10,09:00,10:10,"Theater Lübeck, Großes Haus",Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-tiere-im-hotel-1?eventDateId=2083170&widgetToken=zOpiJSoCowQ.&,Theater & Schauspiel,False
14,UNSERE WAKENITZ,2024-12-10,2024-12-10,09:00,17:00,Museum für Natur und Umwelt,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-unsere-wakenitz-1?eventDateId=1828834&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
15,"YOGA, TANZ, FUNCTIONAL TRAINING | KURSE NACH KURSPLAN",2024-12-10,2024-12-10,09:00,21:00,"Studio Esther Kemp | Yoga, Functional Training & Tanz",Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-yoga-tanz-functional-training-kurse-nach-kursplan-1?eventDateId=1979248&widgetToken=zOpiJSoCowQ.&, ,False
16,WATTWANDERUNG VON FöHR NACH AMRUM,2024-12-10,2024-12-10,09:20, ,"Fähranleger, Bushaltestelle Mole",Wittdün auf Amrum,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-wattwanderung-von-foehr-nach-amrum-400?eventDateId=1870099&widgetToken=zOpiJSoCowQ.&,"Ausflüge, Natur",False
17,KUNSTAUSSTELLUNG MICHAEL WEIGEL,2024-12-10,2024-12-10,09:30,18:30,Galerie im Maritim,Travemünde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-kunstausstellung-michael-weigel-2?eventDateId=2077619&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
18,AQUARIENFüHRUNG MIT FüTTERUNG DER TIERE,2024-12-10,2024-12-10,10:00,11:00,Nationalpark-Haus,St. Peter-Ording,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-aquarienfuehrung-mit-fuetterung-der-tiere-1?eventDateId=2132872&widgetToken=zOpiJSoCowQ.&,Familie & Kinder,False
19,AUGMENTED REALITY-TOUR »TATORT GERRESHEIM«,2024-12-10,2024-12-10,10:00,17:00,Günter Grass-Haus,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-augmented-reality-tour-tatort-gerresheim?eventDateId=1831337&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
20,DER DANZIGER TEXTILSCHATZ IM ZEICHEN EUROPäISCHER FREUNDSCHAFT,2024-12-10,2024-12-10,10:00,17:00,St. Annen-Museum,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-der-danziger-textilschatz-im-zeichen-europaeischer-freundschaft-1?eventDateId=1832149&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
21,EXTRA TIME,2024-12-10,2024-12-10,10:00,17:00,Kunsthalle St. Annen,Lübeck,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-extra-time-1?eventDateId=1831441&widgetToken=zOpiJSoCowQ.&,Ausstellungen,False
22,"FOTOAUSSTELLUNG ""WEITE WELT""",2024-12-10,2024-12-10,10:00,12:00,Christuskirche Garstedt,Norderstedt,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-fotoausstellung-weite-welt?eventDateId=2049281&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
23,"HALLIG NORDEROOG, INSEL DER SEESCHWALBEN - FOTOGRAFISCHE EINBLICKE ALS VOGELWART:IN",2024-12-10,2024-12-10,10:00,17:00,Haus der Natur Ahrensburg,Ahrensburg,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-hallig-norderoog-insel-der-seeschwalben-fotografische-einblicke-als-vogelwartin?eventDateId=2000486&widgetToken=zOpiJSoCowQ.&,sonstige Seminare & Kurse,False
24,HUNDEFOTOGRAFIE AM STRAND,2024-12-10,2024-12-10,10:00, ,Hundestrand,Eckernförde,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-hundefotografie-am-strand-1?eventDateId=2133870&widgetToken=zOpiJSoCowQ.&,"Spielen, Quizzen & Gaming",False
25,HUSUMER WEIHNACHTSMARKT,2024-12-10,2024-12-10,10:00,22:00,Husum,Husum,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-husumer-weihnachtsmarkt-in-husum?eventDateId=2027911&widgetToken=zOpiJSoCowQ.&,"Best-Of, Feste, Highlights, Kulinarisch, Stadtfeste & Märkte, Weihnachtsmärkte, Winter",False
26,LOTSENSCHNACK - DIE SPRECHSTUNDE MIT DEN BüSUMER GäSTELOTSEN,2024-12-10,2024-12-10,10:00,12:00,Watt'n Hus - Freizeit- und Informationszentrum,Büsum,https://tashwhl.infomaxnet.de/event_sh-tourismus/e-lotsenschnack-die-sprechstunde-mit-den-buesumer-gaestelotsen?eventDateId=1471236&widgetToken=zOpiJSoCowQ.&,sonstige Kunst & Kultur,False
