,Category,Title,Date,Time,Location,City
0,Musikveranstaltungen,INTERNATIONALER ORGELZYKLUS JOHANN SEBASTIAN BACH,05.10.2024,00:00 Uhr,Lübecker Innenstadtkirchen,Lübeck
1,Sonstiges,QUARTIERSARBEIT DER VERBRAUCHERZENTRALE SCHLESWIG-HOLSTEIN,05.10.2024,00:00 Uhr,Verbraucherzentrale Schleswig Holstein,Lübeck
2,Sonstiges,SICHT_FELDER FüR LüBECK,05.10.2024,01:00 Uhr,Arbeitsgemeinschaft Kulturtreibhaus,Lübeck
3,sonstige Seminare & Kurse,FOTOAUSSTELLUNG „ÜBERGäNGE“ DES FOTOCLUBS NORDERSTEDT E.V.,05.10.2024,05:00 - 22:00 Uhr,Stadtpark Norderstedt,Norderstedt
4,Sonstiges,LÜBECKER ÜBERGANGSGARTEN,05.10.2024,06:00 - 23:00 Uhr,auf dem Koberg,Lübeck
5,"Kulinarisch, Stadtfeste & Märkte",LAUENBURGER WOCHENMARKT,05.10.2024,07:00 - 12:30 Uhr,Alte Wache,Lauenburg / Elbe
6,Wochenmärkte,"TRADITIONELLER WOCHENMARKT, HEIDE",05.10.2024,07:00 - 13:00 Uhr,Marktplatz Heide,Heide
7,Wochenmärkte,WOCHENMARKT,05.10.2024,07:00 - 12:00 Uhr,Innenstadt Bad Bramstedt,Bad Bramstedt
8,Wochenmärkte,WOCHENMARKT IM CASINOPARK,05.10.2024,07:00 - 12:00 Uhr,Casinopark Wentorf,Wentorf bei Hamburg
9,Wochenmärkte,WOCHENMARKT MARIENBURGER PLATZ - SAMSTAGS -,05.10.2024,07:00 - 12:00 Uhr,Marienburger Platz,Itzehoe
10,Wochenmärkte,WOCHENMARKT MöLLN,05.10.2024,07:00 - 13:00 Uhr,Parkplatz der Kreissparkasse,Mölln
11,"Familie / Kinder, Führung, Wattwanderung",WATTWANDERUNG FüR FRüHAUFSTEHER: SONNENAUFGANG AM MEER,05.10.2024,07:30 - 10:00 Uhr,"Am Leuchtturm 1, 25881 Westerheversand",Westerheversand
12,Wochenmärkte,WOCHENMARKT BAD OLDESLOE,05.10.2024,07:30 - 13:00 Uhr,Marktplatz Bad Oldesloe,Bad Oldesloe
13,sonstige Ausflüge & Führungen,"""BEI WIND UND WETTER""",05.10.2024,08:00 - 08:30 Uhr,Rückseite / Apsis der Klosterkirche,Cismar
14,(Stadt)führungen,STADTRALLYE DURCH DIE QUICKBORNER INNENSTADT,05.10.2024,08:00 - 18:00 Uhr,Innenstadt Quickborn,Quickborn
15,sonstige Seminare & Kurse,WINDART SKULPTUREN WALK,05.10.2024,08:00 Uhr,verschiedene Spielstätten in Travemünde,Travemünde
16,Ausstellungen,WINDART SKULPTUREN WALK,05.10.2024,08:00 - 23:00 Uhr,verschiedene Orte in Travemünde,Travemünde
17,"Nationalpark & Wattenmeer, Wattwanderung, Wattwanderungen",WATTWANDERUNGEN HALLIGEN OLAND-LANGENEẞ ODER UMGEKEHRT,05.10.2024,08:15 - 17:15 Uhr,"Infoturm ""Watt´n Blick"" im Hafen Schlüttsiel",Ockholm
18,"Familie / Kinder, Führung, Outdoor, Wattwanderung",WATTWANDERUNG AUF SYLT - ABENTEUER WATTENMEER IN HöRNUM,05.10.2024,08:30 - 11:00 Uhr,"Am Wendekreis (Osterende 10), 25997 Hörnum",Hörnum
19,"Familie / Kinder, Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, Wattwanderung, Wattwanderungen",FüHRUNG: KLEINE WATTWANDERUNG AUF FöHR,05.10.2024,08:45 - 10:45 Uhr,"vor der Einfahrt zum Nationalpark-Haus Föhr, Strandstraße 60, 25938 Wyk",Wyk auf Föhr
20,"FÖHRgreen Erlebnis, Natur, Wattwanderung",KLEINE WATTWANDERUNG AUF FöHR,05.10.2024,08:45 Uhr,"Ende Strandstraße, beim öffentlichen Toilettenhaus",Wyk
21,Flohmärkte,FLOHMARKT AM KOHLOSSEUM IN WESSELBUREN,05.10.2024,09:00 - 17:00 Uhr,KOHLosseum,Wesselburen
22,N/A,HURRICANE BOOTSVERMIETUNG TRAVEMüNDE | MOTORBOOTE,05.10.2024,09:00 - 18:00 Uhr,"Hurricane BootsVermietung Travemünde, Prinzenbrücke",Travemünde
23,Stadtfeste & Märkte,KLEINER FöHRER BAUERNMARKT,05.10.2024,09:00 - 12:00 Uhr,Rathausplatz,Wyk
24,"Familie / Kinder, Führung, Outdoor, Wattwanderung",PIRATEN WATTWANDERUNG FüR KINDER IN HöRNUM (SYLT),05.10.2024,09:00 - 10:30 Uhr,"Am Wendekreis (Osterende 10), 25997 Hörnum",Hörnum
25,Ausstellungen,SUTSCHE TOUR,05.10.2024,09:00 - 18:00 Uhr,sutsche tour,Lübeck
26,"Ausflüge, Natur",WATTWANDERUNG NACH FöHR,05.10.2024,09:00 Uhr,"Fußgängerzone, ""Strandläufer""",Norddorf auf Amrum
27,N/A,"YOGA, TANZ, FUNCTIONAL TRAINING | KURSE NACH KURSPLAN",05.10.2024,09:00 - 21:00 Uhr,"Studio Esther Kemp | Yoga, Functional Training & Tanz",Travemünde
28,"Kinder, Natur","""AMRUMS NATUR ERLEBEN""",05.10.2024,09:30 Uhr,NaTour-Düne,Wittdün auf Amrum
29,sonstige Ausflüge & Führungen,ALPAKA WANDERUNGEN AM DUMMERSDORFER UFER | SAMSTAGS,05.10.2024,09:30 Uhr,Naturnah-Hof (Familie Filbrandt),Lübeck
30,N/A,ALPAKA WANDERUNGEN AM DUMMERSDORFER UFER | SAMSTAGS,05.10.2024,09:30 - 17:00 Uhr,Naturnah-Hof • Familie Filbrandt,Kücknitz bei Travemünde
31,Pflanzenkundliche Führungen,AUF DER SUCHE NACH LECKEREN SPEISEPILZEN,05.10.2024,09:30 - 12:00 Uhr,"Kaltenkirchen, PENNY Parkplatz",Kaltenkirchen
32,"Ausstellung, Barrierefrei, Familie & Kinder, Familie / Kinder, Führung",AUSSTELLUNGSFüHRUNG MIT FüTTERUNG DER AQUARIENTIERE,05.10.2024,09:30 - 11:00 Uhr,"NatourDüne, Am Schwimmbad 1, 25946 Wittdün",Wittdün
33,"Familie & Kinder, Familie / Kinder, Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, sonstige Naturkunde, Strandwanderung, Wattwanderung, Wattwanderungen",KLEINE SCHLICKWATTWANDERUNG AM DOCKKOOG VOR HUSUM,05.10.2024,09:30 - 11:00 Uhr,"Nationalpark Infopavillon an der Ruine des Nordseehotels, Dockkoogstraße 26, 25813 Husum",Husum
34,Ausstellungen,KUNSTAUSSTELLUNG MICHAEL WEIGEL,05.10.2024,09:30 - 18:30 Uhr,Galerie im Maritim,Travemünde
35,Rundfahrten,LüHE SCHULAU FäHRE AB WEDEL,05.10.2024,09:30 Uhr,Anleger Schulauer Hafen,Wedel
36,Familie & Kinder,MAL- UND SPIELSPAẞ FüR KINDER,05.10.2024,09:30 - 13:00 Uhr,Strandhaus,Grömitz
37,Sonstiges,STRANDHAUS GEöFFNET,05.10.2024,09:30 - 16:00 Uhr,Strandhaus,Grömitz
38,"Führung, Nationalpark & Wattenmeer, Naturkunde, Outdoor, Wattwanderung, Wattwanderungen",WATTWANDERUNG IM RANTUMER SCHLICKWATT AUF SYLT,05.10.2024,09:30 - 11:00 Uhr,"Hafen Rantum, 25980 Rantum / Sylt",Rantum / Sylt
39,"Wattwanderung, Wattwanderungen",WATTWANDERUNG ZUR HALLIG OLAND UND MIT DEM SCHIFF ZURüCK,05.10.2024,09:30 - 15:30 Uhr,"Strandparkplatz, Am Badedeich 11",Dagebüll
40,Workshops & Kurse,WORKSHOP + BEGEHUNG NATURERLEBNISRAUM STRUKBACH,05.10.2024,09:30 - 13:00 Uhr,Treffpunkt: Am Strukbach - Steintreppe ins Gelände,Lübeck
41,Natur,"""MEHR ALS SAND UND SCHLICK""",05.10.2024,10:00 Uhr,Fahrradständer Odde,Norddorf auf Amrum
42,"Naturkunde, Vogelkundliche Führungen","""VOGELSTIMMEN AM MEER"" – IN- UND OUTDOOR-SEMINAR ZUR KLANGWELT AN DER KüSTE",05.10.2024,10:00 - 16:30 Uhr,"Integrierte Station Westküste ""Lüttmoorsiel"", Beltringharder Koog 4, 25821 Reußenköge",Reußenköge
43,"Ausstellung, Barrierefrei, Familie / Kinder, Führung, Indoor, Vortrag",AQUARIENFüHRUNG MIT FüTTERUNG DER TIERE,05.10.2024,10:00 - 11:00 Uhr,"Nationalpark-Haus, Maleens Knoll 2, St. Peter-Ording",St. Peter-Ording
44,Familie & Kinder,AQUARIENFüHRUNG MIT FüTTERUNG DER TIERE,05.10.2024,10:00 - 11:00 Uhr,Nationalpark-Haus,St. Peter-Ording
45,"Gesundheit, Wellness/Entspannung",AERIAL YOGA WORKSHOP - YOGA SCHWEBEND IM TUCH,05.10.2024,10:00 - 14:00 Uhr,Seelenlauscherei,Pelzerhaken
46,sonstige Gesundheit,ATEM WORKSHOP - BEWEGT VOM EIGENEN ATEM,05.10.2024,10:00 - 13:00 Uhr,Praxis für Atemtherapie,Eckernförde
47,Ausstellungen,AUGMENTED REALITY-TOUR »TATORT GERRESHEIM«,05.10.2024,10:00 - 17:00 Uhr,Günter Grass-Haus,Lübeck
48,sonstige Feste & Märkte,BAUERN- UND REGIONALMARKT,05.10.2024,10:00 - 18:00 Uhr,Innenstadt,Kiel
49,Sonstiges,BESICHTIGUNG DER OSTSEESTATION TRAVEMüNDE,05.10.2024,10:00 - 17:00 Uhr,Ostseestation Travemünde,Travemünde
50,sonstige Sportveranstaltungen,BREATHWALK® EIN ACHTSAMER SPAZIERGANG,05.10.2024,10:00 - 11:30 Uhr,"Auf dem Deich, Höhe Fischerhütten",Schönberg
51,Kunst- & Handwerksmärkte,BURG KREATIV,05.10.2024,10:00 Uhr,Bökelnburghalle,Burg (Dithmarschen)
52,"Best-Of, Highlights, Surfen/Kite-Surfen",CITRöEN WINDSURF WORLD CUP,05.10.2024,10:00 - 20:00 Uhr,Sylt,Insel Sylt
53,Ausstellungen,DER DANZIGER TEXTILSCHATZ IM ZEICHEN EUROPäISCHER FREUNDSCHAFT,05.10.2024,10:00 - 17:00 Uhr,St. Annen-Museum,Lübeck
54,sonstige Seminare & Kurse,ERNTE-DANK-BASTELN,05.10.2024,10:00 Uhr,Haus des Gastes Dahme,Dahme
55,"kulinarische Feste, sonstige Feste & Märkte",EXKLUSIV & LECKER: KUNST - KULINARIK - DESIGN,05.10.2024,10:00 Uhr,Hafen,Niendorf / Ostsee
56,Ausstellungen,EXTRA TIME,05.10.2024,10:00 - 17:00 Uhr,Kunsthalle St. Annen,Lübeck
57,sonstige Seminare & Kurse,"FERNE ERDEN - KERAMIK AUS SüDAMERIKA, AFRIKA UND ASIEN",05.10.2024,10:00 - 17:00 Uhr,Schloss Reinbek,Reinbek
58,Ausstellungen,GäRTNERN IN DER STADT,05.10.2024,10:00 - 17:00 Uhr,Museum für Natur und Umwelt,Lübeck
59,"Spielen, Quizzen & Gaming",HUNDEFOTOGRAFIE AM STRAND,05.10.2024,10:00 Uhr,Hundestrand,Eckernförde
60,sonstige Ausflüge & Führungen,KIRCHENFüHRUNG UND TURMAUFSTIEG ST. JüRGEN-KIRCHE,05.10.2024,10:00 - 11:00 Uhr,Vor der Kirche,Gettorf
61,sonstige Feste & Märkte,KLEINER BüCHERFLOHMARKT,05.10.2024,10:00 - 13:00 Uhr,Stadtbücherei Bad Segeberg,Bad Segeberg
62,N/A,KLETTERWALD TRAVEMüNDE,05.10.2024,10:00 - 19:00 Uhr,Kletterwald Travemünde,Travemünde
63,"Ausflüge, Feste, Herbst, sonstige Messen, Verbrauchermesse",LEBENSART HERBSTMARKT GUT BASTHORST,05.10.2024,10:00 - 18:00 Uhr,Gut Basthorst,Basthorst
64,sonstige Seminare & Kurse,MALKURS STRANDLIEBE! (EPOXIDHARZ),05.10.2024,10:00 - 16:00 Uhr,Atelier KasperArt,Kellenhusen
65,sonstige Ausflüge & Führungen,MIT DER NORDERFäHRE ZUM PRIWALL,05.10.2024,10:00 Uhr,Treffpunkt: Fährplatz Travemünde,Travemünde
66,Sonstiges,MIT DER NORDERFäHRE ZUM PRIWALL,05.10.2024,10:00 - 22:30 Uhr,Personenfähre Nordermole,Travemünde
67,sonstige Seminare & Kurse,NAHE FERNE - MALEREI VON KATHARINA ISMER,05.10.2024,10:00 - 17:00 Uhr,Schloss Reinbek,Reinbek
68,"Führung, Natur",PILZWANDERUNG IM DRELSDORFER FORST,05.10.2024,10:00 - 12:30 Uhr,Feuerwehrgerätehaus Drelsdorf,Drelsdorf
69,Sonstiges,"SANDSKULPTUREN TRAVEMüNDE | LEGENDEN, MYTHEN UND SAGEN",05.10.2024,10:00 - 18:00 Uhr,Bootshallen am Fischereihafen,Travemünde
70,sonstige Ausflüge & Führungen,SCHMETTERLINGSGARTEN,05.10.2024,10:00 Uhr,Schmetterlingsgarten NABU,Bad Segeberg
71,Ausstellungen,TOUR DE GRASS,05.10.2024,10:00 - 17:00 Uhr,Günter Grass-Haus,Lübeck
