,Date,Event,Time,Location,Category,Source
0,2024-10-05,Lenas Fenster - Figurentheater KOLK 17,15:00,Europäisches Hansemuseum,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
1,2024-10-05,Des Kaisers neue Kleider - Premiere,16:00,Theater am Tremser Teich,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
2,2024-10-05,Der Besuch der alten Dame,19:30,Theater Lübeck – Großes Haus,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
3,2024-10-05,Himmlische Zeiten,19:30,Theaterschiff,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
4,2024-10-05,Zampanos Welt,19:30,Wiese vor dem Dom,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
5,2024-10-05,Der Durchbruch - Das Kleinkunstmusical,20:00,Theater Combinale,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
6,2024-10-05,Der Vampir,20:00,Theaterhaus der Gemeinnützigen,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
7,2024-10-05,My Hometown - Ein Bruce Springsteen-Liederab­end,20:00,Theater Lübeck – Kammerspiele,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
8,2024-10-05,2. Bigband-Night Lübeck 2024,18:00,Schuppen 6,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
9,2024-10-05,1. Kammer­konzert,19:30,Rathaus Lübeck Audienzsaal,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
10,2024-10-05,Mahlers Neunte - Sinfoniekonzert mit dem MHL-Sinfonieorchester - 3 x 2 Freikarten zu gewinnen!,19:30,Musik- und Kongresshalle – MuK,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
11,2024-10-05,Schwarzblond - Mitternächtliche Mondscheinwunder,19:30,Comödie Lübeck,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
12,2024-10-05,Geneses - All Sides Live Tour,20:00,Kolosseum,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
13,2024-10-05,Leichtmatrose,20:00,Rider's Café,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
14,2024-10-05,Linebug,20:00,Tonfink,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
15,2024-10-05,Tom & Lily,21:00,Casino Lübeck,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
16,2024-10-05,EA 80 & Klotzs - Deutschpunklegenden,21:30,Treibsand,Musik,https://www.unser-luebeck.de/veranstaltungskalender/
17,2024-10-05,Architecton,18:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
18,2024-10-05,Element of Crime in - Wenn es dunkel und kalt wird in Berlin,16:00,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
19,2024-10-05,Samia (DF),20:30,Kommunales Kino Lübeck – Kino Koki,Film,https://www.unser-luebeck.de/veranstaltungskalender/
20,2024-10-05,Renate Straatmann und Ulrlike Dillig: Form trifft Farbe,09:30,Ostholstein-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
21,2024-10-05,Bestattungskulturen in Lübeck und der Welt. Vom Ruheort zum Coffin Dance,10:00,Geschichtswerkstatt Herrenwyk,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
22,2024-10-05,Buddenbrooks im Behnhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
23,2024-10-05,Fokus Farbscholle,10:00,Dom zu Lübeck,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
24,2024-10-05,Grass TANZBAR,10:00,Günter Grass-Haus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
25,2024-10-05,Heather Phillipson: Extra Time,10:00,Kunsthalle St. Annen,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
26,2024-10-05,Thomas Manns „Der Zauberberg“. Fiebertraum und Höhenrausch,10:00,St. Annen-Museum,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
27,2024-10-05,Unsere Wakenitz,10:00,Museum für Natur und Umwelt,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
28,2024-10-05,Von Caspar David Friedrich bis Edvard Munch - Die Highlights der Sammlung im Drägerhaus,10:00,Museum Behnhaus Drägerhaus,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
29,2024-10-05,Daina Weinland - POP-UP-GALERIE,11:00,Galeriewerkstatt Caroline Rügge,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
30,2024-10-05,"Text trifft Tanke - Kunstwerke zum Thema ""Schöpfung"" lyrisch interpretiert",13:00,Kunsttankstelle Defacto Art,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
31,2024-10-05,Johannes Brahms - Beziehungszauber,14:00,Villa Brahms,Ausstellungen,https://www.unser-luebeck.de/veranstaltungskalender/
32,2024-10-05,"Petrivision - ""Körper""",23:00,St. Petri Lübeck,Sonstiges,https://www.unser-luebeck.de/veranstaltungskalender/
0,2024-10-06,Himmlische Zeiten,15:00,Theaterschiff,Theater,https://www.unser-luebeck.de/veranstaltungskalender/
