,Title,Location,Categories,Date,Time
0,Bauern- und Regionalmarkt mit verkaufsoffenen Sonntag im CITTI-Park,CITTI-PARK,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten', 'Shopping', 'Sport/Freizeit']",05.10.2024,09:00 - 20:00 Uhr
1,Herbstmarkt in Molfsee,Freilichtmuseum Molfsee,"['Gastronomie', 'Kinderprogramm', 'Kultur', 'Märkte', 'Regionale Spezialitäten']",05.10.2024,09:00 - 18:00 Uhr
2,Kaufrausch. Konsum und Warenwelten der 1980er Jahre,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",05.10.2024,10:00 - 18:00 Uhr
3,Der Gewölbekeller. Kostbarkeiten aus dem Alten Kiel,Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultur', 'Kultursommer']",05.10.2024,10:00 - 18:00 Uhr
4,Bücherflohmarkt inkl. verkaufsoffenem Sonntag,Sophienhof,"['Flohmarkt', 'Shopping', 'Kultur', 'Märkte']",05.10.2024,10:00 - 18:00 Uhr
5,"Kiel, Du bist gefragt!",Stadtmuseum Warleberger Hof,"['Ausstellung', 'Kultursommer', 'Kultur']",05.10.2024,10:00 - 18:00 Uhr
6,Herbstliches Kochevent auf dem Wochenmarkt,Wochenmarkt Exerzierplatz,"['Märkte', 'Kultur', 'Gastronomie']",05.10.2024,10:00 - 13:00 Uhr
7,"Marine, Werften, Segelsport – die Geschichte der Hafenstadt Kiel",Schifffahrtsmuseum,"['Ausstellung', 'Kultursommer', 'Kultur', 'Kieler-Woche']",05.10.2024,10:00 - 18:00 Uhr
8,Buntes Herbstfest im Tierpark,Tierpark Neumünster,"['Führung/Besichtigung', 'Kinderprogramm', 'Sport/Freizeit', 'Kultur']",05.10.2024,10:00 - 17:00 Uhr
9,Bauern- und Regionalmarkt mit verkaufsoffenem Sonntag,Holstenplatz,"['Kinderprogramm', 'Regionale Spezialitäten', 'Sport/Freizeit', 'Shopping', 'Kultur', 'Märkte']",05.10.2024,11:00 - 18:00 Uhr
